segment_lane_id,segment_id,lane_num,parent_lane_id,allowed_uses,r_barrier,l_barrier,width
6971,3445,-1,,,,,
6972,3447,-1,,,,,
6973,3448,4,,,,,
6974,3448,-1,,,,,
6975,3449,-1,,,,,
6976,3456,-1,,,,,
6977,3457,-1,,,,,
6978,3464,-1,,,,,
6979,3479,-1,,,,,
6980,3480,-1,,,,,
6981,3484,4,,,,,
6982,3486,-1,,,,,
6983,3487,-1,,,,,
6984,3488,-1,,,,,
6985,3491,-1,,,,,
6986,3503,-1,,,,,
6987,3504,4,,,,,
6988,3509,-1,,,,,
6989,3511,-1,,,,,
6990,3527,-1,,,,,
6991,3533,-1,,,,,
6992,3545,-1,,,,,
6993,3552,-1,,,,,
6994,3554,-1,,,,,
6995,3572,-1,,,,,
6996,3601,5,,,,,
6997,3603,-1,,,,,
6998,3603,-2,,,,,
6999,3609,-1,,,,,
7000,3612,-1,,,,,
7001,3613,-1,,,,,
7002,3641,-1,,,,,
7003,3701,4,,,,,
7004,3701,-1,,,,,
7005,3715,-1,,,,,
7006,3731,-1,,,,,
7007,3740,-1,,,,,
7008,3872,-1,,,,,
7009,4154,3,,,,,
7010,4337,4,,,,,
7011,4445,-1,,,,,
7012,4579,-1,,,,,
7013,4600,4,,,,,
7014,4613,-1,,,,,
7015,4639,-1,,,,,
7016,4668,-1,,,,,
7017,4669,-1,,,,,
7018,4670,-1,,,,,
7019,4692,-1,,,,,
7020,4695,-1,,,,,
7021,4741,-1,,,,,
7022,4742,-1,,,,,
7023,4863,3,,,,,
7024,4950,-1,,,,,
7025,4951,-1,,,,,
7026,5018,-1,,,,,
7027,5019,-1,,,,,
7028,5021,-1,,,,,
7029,5022,-1,,,,,
7030,5032,3,,,,,
7031,5165,-1,,,,,
7032,5256,-1,,,,,
7033,5606,-1,,,,,
7034,5670,-1,,,,,
7035,5814,3,,,,,
7036,5823,4,,,,,
7037,5828,-1,,,,,
7038,5829,-1,,,,,
7039,5832,4,,,,,
7040,5834,-1,,,,,
7041,5842,-1,,,,,
7042,6014,-1,,,,,
7043,6036,-1,,,,,
7044,6071,-1,,,,,
7045,6072,-1,,,,,
7046,6075,3,,,,,
7047,6078,-1,,,,,
7048,6081,-1,,,,,
7049,6088,-1,,,,,
7050,6092,-1,,,,,
