node_id,name,x_coord,y_coord,z_coord,node_type,ctrl_type,zone_id,parent_node_id
103569,,1456706.761,1042336.277,,,signal,262,
103570,,1581316.108,1056564.178,,,4_stop,337,
103571,,1581316.108,1059240.381,,,4_stop,328,
103572,,1442482.991,988835.188,,,none,224,
103574,,1453629.682,1021725.63,,,none,246,
103575,,1443219.923,1031240.854,,,none,0,
103576,,1443134.979,1025867.615,,,none,248,
103577,,1442567.19,994149.812,,,none,225,
103578,,1507168.114,1032986.755,,,none,297,
103579,,1515269.474,1043332.858,,,none,298,
103580,,1458672.225,1041069.877,,,signal,259,
103581,,1507256.365,1038541.303,,,none,296,
103582,,1512559.449,1036570.844,,,none,298,
103583,,1556449.327,969149.25,,,none,368,
103584,,1571674.131,966430.437,,,none,372,
103585,,1558964.057,966499.0,,,none,368,
103586,,1515323.75,1045897.571,,,none,298,
103587,,1507272.804,1036867.237,,,none,298,
103588,,1512527.927,1035070.803,,,none,297,
103589,,1507212.384,1036788.528,,,none,297,
103590,,1512524.755,1034972.812,,,none,297,
103591,,1456067.947,1009744.302,,,none,241,
103592,,1456109.985,1012378.36,,,none,243,
103593,,1477500.559,1033347.686,,,none,290,
103594,,1475376.698,1038477.957,,,2_stop,290,
103595,,1475496.382,1024822.52,,,none,239,
103596,,1477873.693,1024028.906,,,none,239,
103597,,1466797.233,1000352.599,,,none,216,
103598,,1469093.702,1012150.762,,,none,231,
103599,,1463796.256,1007391.708,,,none,232,
103600,,1481696.522,1012117.736,,,none,228,
103601,,1488278.073,1006740.143,,,none,213,
103602,,1488320.28,1012490.875,,,none,229,
103603,,1474971.152,1004245.779,,,2_stop,231,
103604,,1476372.413,1004231.097,,,none,213,
103605,,1474804.495,988468.937,,,none,210,
103606,,1485392.565,988390.062,,,none,209,
103607,,1484325.287,1035000.734,,,none,293,
103608,,1475035.824,1012119.219,,,2_stop,231,
103609,,1479031.42,1012118.351,,,none,228,
103612,,1453448.964,1009754.347,,,2_stop,242,
103613,,1453535.667,1015002.01,,,none,244,
103614,,1464695.698,1004101.745,,,none,231,
103615,,1464503.703,1012239.177,,,2_stop,232,
103616,,1475184.804,1020036.294,,,2_stop,233,
103617,,1479122.099,1020008.866,,,none,230,
103618,,1475002.766,1009474.057,,,none,231,
103619,,1485664.071,1009445.345,,,none,227,
103620,,1485671.945,1012121.967,,,none,227,
103621,,1475094.726,1030756.812,,,2_stop,240,
103622,,1477911.169,1030694.449,,,2_stop,237,
103623,,1475391.771,1040602.359,,,none,291,
103624,,1480716.065,1040962.592,,,2_stop,292,
103625,,1474920.554,998967.25,,,4_stop,212,
103626,,1480233.918,998896.188,,,none,212,
103627,,1475251.7,1033420.762,,,none,289,
103628,,1477205.776,1033353.114,,,none,290,
103629,,1474847.912,991106.875,,,2_stop,212,
103630,,1456567.303,1044270.321,,,none,261,
103631,,1460167.464,1001804.481,,,none,232,
103632,,1460385.223,1011978.781,,,none,232,
103633,,1474970.014,1006844.209,,,none,231,
103634,,1480324.725,1006790.184,,,none,213,
103635,,1480137.312,992025.125,,,none,212,
103636,,1475237.772,1032827.265,,,2_stop,289,
103637,,1477776.587,1031202.287,,,2_stop,284,
103638,,1455643.356,1042352.98,,,none,0,
103639,,1474721.343,983182.438,,,none,214,
103640,,1457557.861,1041087.902,,,2_stop,254,
103641,,1473331.91,991137.562,,,none,215,
103642,,1474969.906,1006740.333,,,none,231,
103643,,1456715.792,1041101.491,,,4_stop,252,
103644,,1475376.174,1038563.626,,,2_stop,291,
103645,,1480640.056,1038473.058,,,2_stop,293,
103646,,1480638.803,1038394.714,,,2_stop,293,
103647,,1453383.919,1007147.016,,,none,242,
103648,,1457547.353,1040695.903,,,2_stop,253,
103649,,1453995.798,992225.438,,,none,223,
103650,,1464166.398,985983.875,,,none,218,
103651,,1491054.205,1021171.411,,,none,161,
103652,,1447785.542,988732.0,,,none,224,
103653,,1483557.001,1022179.431,,,none,239,
103654,,1452882.71,988677.563,,,none,225,
103655,,1455721.964,988614.875,,,none,218,
103656,,1469469.476,985923.5,,,none,214,
103657,,1469542.179,991213.875,,,2_stop,214,
103658,,1480487.482,1027173.622,,,none,237,
103659,,1457921.457,1009737.022,,,none,241,
103660,,1457561.937,988574.312,,,none,218,
103661,,1464203.456,988622.625,,,none,218,
103662,,1451328.093,984697.75,,,none,218,
103663,,1453032.163,988674.438,,,2_stop,218,
103664,,1455839.445,994798.062,,,none,226,
103665,,1458784.824,1001818.026,,,none,241,
103666,,1453282.11,1001878.956,,,2_stop,226,
103667,,1456694.691,991350.812,,,none,219,
103668,,1457481.779,991347.125,,,none,219,
103669,,1474770.522,985789.313,,,none,210,
103670,,1460314.382,1006629.719,,,none,232,
103671,,1449556.885,1009817.125,,,none,242,
103672,,1451280.13,983369.5,,,none,0,
103674,,1453318.368,1004515.287,,,none,242,
103676,,1453238.192,999247.562,,,none,226,
103678,,1456108.776,1013402.958,,,none,243,
103679,,1458125.021,1040690.241,,,none,255,
103680,,1456728.039,1040889.688,,,none,252,
103681,,1442699.229,1002070.65,,,none,0,
103682,,1445311.906,1002023.544,,,none,226,
103683,,1446546.634,994064.688,,,none,225,
103684,,1450501.681,993980.0,,,none,225,
103687,,1457140.158,1041086.789,,,none,253,
103688,,1445215.995,994093.188,,,none,225,
103689,,1457122.24,1040698.561,,,none,253,
103690,,1453185.9,993973.062,,,none,226,
103691,,1455838.166,993896.0,,,none,221,
103692,,1458107.742,1041074.844,,,none,255,
103693,,1457570.196,1041749.764,,,none,254,
103694,,1456716.093,1041684.063,,,none,252,
103695,,1454060.026,990664.188,,,none,219,
103696,,1454222.128,991061.375,,,none,219,
103697,,1454587.198,991955.625,,,signal,219,
103698,,1454701.511,992309.0,,,none,223,
103699,,1455513.763,991585.625,,,none,221,
103700,,1457098.349,1042329.12,,,none,262,
103701,,1453324.412,989248.0,,,none,219,
103702,,1453226.997,989056.812,,,none,222,
103703,,1456719.772,1040701.176,,,none,252,
103704,,1464129.539,983341.062,,,none,0,
103705,,1469432.874,983251.562,,,4_stop,0,
103706,,1464291.498,993916.375,,,none,215,
103707,,1464344.871,1001714.141,,,none,215,
103708,,1467780.619,999031.063,,,none,215,
103709,,1465530.602,1001697.571,,,none,215,
103710,,1467011.518,1004332.963,,,none,216,
103711,,1464256.34,991289.562,,,2_stop,217,
103712,,1468390.901,991230.313,,,none,214,
103713,,1464283.922,993388.75,,,none,217,
103714,,1459057.399,991342.688,,,none,217,
103715,,1456712.187,1040574.118,,,none,252,
103716,,1456124.024,1040240.616,,,none,252,
103717,,1469580.15,993800.938,,,none,215,
103718,,1474884.524,995087.375,,,none,212,
103719,,1471816.181,991167.938,,,none,214,
103720,,1471336.426,999003.875,,,none,216,
103721,,1474938.113,1001649.357,,,none,216,
103722,,1458753.106,1012002.875,,,none,241,
103723,,1473926.052,1035578.984,,,none,289,
103724,,1469986.436,1036120.13,,,none,285,
103725,,1457310.965,1031005.199,,,none,247,
103726,,1459050.847,1030975.873,,,none,247,
103727,,1456355.977,1025577.246,,,none,245,
103728,,1460411.346,1025428.162,,,none,240,
103729,,1456194.816,1017682.944,,,none,243,
103730,,1458845.552,1017695.122,,,none,243,
103731,,1464601.31,1030896.531,,,none,240,
103732,,1464715.533,1035944.433,,,none,284,
103733,,1467254.388,1030862.506,,,none,240,
103734,,1467386.6,1037441.7,,,none,284,
103735,,1474058.312,1034919.118,,,none,289,
103736,,1473098.962,1038062.641,,,none,289,
103737,,1472585.558,1035976.926,,,2_stop,289,
103738,,1472605.692,1034410.258,,,2_stop,284,
103739,,1459195.462,1040692.508,,,none,270,
103740,,1460538.363,1033558.368,,,none,283,
103741,,1460585.064,1036278.457,,,none,282,
103742,,1459219.738,1042331.583,,,none,265,
103743,,1458042.042,1042329.12,,,none,262,
