mvmt_id,node_id,name,ib_link_id,start_ib_lane,end_ib_lane,ob_link_id,start_ob_lane,end_ob_lane,type,penalty,capacity,ctrl_type
209,88,,100666 88,1,1,88 100666,1,1,uturn,,,none
210,89,,100627 89,1,1,89 100627,1,1,uturn,,,none
211,89,,100630 89,1,1,89 100630,1,1,uturn,,,none
212,90,,100644 90,1,1,90 100644,1,1,uturn,,,none
213,91,,100670 91,1,1,91 100670,1,1,uturn,,,none
214,91,,103983 91,1,1,91 103983,1,1,uturn,,,none
215,92,,100055 92,1,1,92 100055,1,1,uturn,,,none
216,92,,100062 92,1,1,92 100062,1,1,uturn,,,none
217,92,,100063 92,1,1,92 100063,1,1,uturn,,,none
218,93,,100073 93,1,1,93 100073,1,1,uturn,,,none
219,93,,100074 93,1,1,93 100074,1,1,uturn,,,none
220,94,,100074 94,1,1,94 100074,1,1,uturn,,,none
221,94,,100075 94,1,1,94 100075,1,1,uturn,,,none
222,94,,101839 94,1,1,94 101839,1,1,uturn,,,none
223,94,,101840 94,1,1,94 101840,1,1,uturn,,,none
224,95,,100570 95,1,1,95 100570,1,1,uturn,,,none
225,95,,101836 95,1,1,95 101836,1,1,uturn,,,none
226,96,,100573 96,1,1,96 100573,1,1,uturn,,,none
227,96,,101839 96,1,1,96 101839,1,1,uturn,,,none
228,97,,100078 97,1,1,97 100078,1,1,uturn,,,none
229,97,,100574 97,1,1,97 100574,1,1,uturn,,,none
230,97,,100575 97,1,1,97 100575,1,1,uturn,,,none
231,97,,100578 97,1,1,97 100578,1,1,uturn,,,none
232,98,,100586 98,1,1,98 100586,1,1,uturn,,,none
233,98,,100587 98,1,1,98 100587,1,1,uturn,,,none
234,98,,100590 98,1,1,98 100590,1,1,uturn,,,none
235,99,,100562 99,1,1,99 100562,1,1,uturn,,,none
236,99,,100605 99,1,1,99 100605,1,1,uturn,,,none
237,99,,100607 99,1,1,99 100607,1,1,uturn,,,none
238,100,,100263 100,1,1,100 100263,1,1,uturn,,,none
239,100,,100497 100,1,1,100 100497,1,1,uturn,,,none
240,101,,100556 101,1,1,101 100556,1,1,uturn,,,none
241,101,,100558 101,1,1,101 100558,1,1,uturn,,,none
242,102,,100543 102,1,1,102 100543,1,1,uturn,,,none
243,102,,100545 102,1,1,102 100545,1,1,uturn,,,none
244,103,,100553 103,1,1,103 100553,1,1,uturn,,,none
245,103,,100560 103,1,1,103 100560,1,1,uturn,,,none
246,104,,100552 104,1,1,104 100552,1,1,uturn,,,none
247,105,,100526 105,1,1,105 100526,1,1,uturn,,,none
248,105,,100535 105,1,1,105 100535,1,1,uturn,,,none
249,105,,100541 105,1,1,105 100541,1,1,uturn,,,none
250,106,,100540 106,1,1,106 100540,1,1,uturn,,,none
251,106,,100541 106,1,1,106 100541,1,1,uturn,,,none
252,106,,100546 106,1,1,106 100546,1,1,uturn,,,none
253,107,,100550 107,1,1,107 100550,1,1,uturn,,,none
254,107,,100624 107,1,1,107 100624,1,1,uturn,,,none
