lane_id,link_id,lane_num,allowed_uses,r_barrier,l_barrier,width
351,100087 100107,1,,,,
352,100087 55,1,,,,
353,100088 100060,1,,,,
354,100088 100086,1,,,,
355,100088 100087,1,,,,
356,100088 100089,1,,,,
357,100089 100088,1,,,,
358,100089 100091,1,,,,
359,100089 54,1,,,,
360,100090 100091,1,,,,
361,100090 100091,2,,,,
362,100090 100107,1,,,,
363,100091 100089,1,,,,
364,100091 100090,1,,,,
365,100091 100092,1,,,,
366,100091 100092,2,,,,
367,100092 100034,1,,,,
368,100092 100034,2,,,,
369,100092 100091,1,,,,
370,100092 100091,2,,,,
371,100092 100093,1,,,,
372,100092 101957,1,,,,
373,100093 100019,1,,,,
374,100093 100092,1,,,,
375,100093 100094,1,,,,
376,100093 100097,1,,,,
377,100094 100093,1,,,,
378,100094 53,1,,,,
379,100095 100096,1,,,,
380,100095 100101,1,,,,
381,100095 53,1,,,,
382,100096 100095,1,,,,
383,100096 100097,1,,,,
384,100096 35,1,,,,
385,100097 100006,1,,,,
386,100097 100006,2,,,,
387,100097 100093,1,,,,
388,100097 100096,1,,,,
389,100097 100096,2,,,,
390,100097 100098,1,,,,
391,100098 100097,1,,,,
392,100098 101952,1,,,,
393,100098 101980,1,,,,
394,100098 101994,1,,,,
395,100099 100086,1,,,,
396,100099 55,1,,,,
397,100100 100048,1,,,,
398,100100 100048,2,,,,
399,100100 9,1,,,,
400,100101 100095,1,,,,
401,100101 100102,1,,,,
402,100102 100101,1,,,,
403,100102 100103,1,,,,
404,100102 42,1,,,,
405,100103 100102,1,,,,
406,100103 100104,1,,,,
407,100103 57,1,,,,
408,100104 100103,1,,,,
409,100104 100120,1,,,,
410,100104 173,1,,,,
411,100104 390,1,,,,
412,100104 58,1,,,,
413,100105 100120,1,,,,
414,100105 100128,1,,,,
415,100105 172,1,,,,
416,100105 391,1,,,,
417,100106 100107,1,,,,
418,100106 169,1,,,,
419,100106 57,1,,,,
420,100106 59,1,,,,
421,100107 100087,1,,,,
422,100107 100090,1,,,,
423,100107 100090,2,,,,
424,100107 100106,1,,,,
425,100107 100108,1,,,,
426,100108 100107,1,,,,
427,100108 100218,1,,,,
428,100108 100221,1,,,,
429,100108 100222,1,,,,
430,100109 100085,1,,,,
431,100109 100110,1,,,,
432,100109 100110,2,,,,
433,100109 100222,1,,,,
434,100110 100109,1,,,,
435,100110 100109,2,,,,
436,100110 100111,1,,,,
437,100110 100111,2,,,,
438,100110 58,1,,,,
439,100110 61,1,,,,
440,100111 100110,1,,,,
441,100111 100110,2,,,,
442,100111 100110,3,,,,
443,100111 102542,1,,,,
444,100111 104438,1,,,,
445,100111 104438,2,,,,
446,100112 100307,1,,,,
447,100112 100307,2,,,,
448,100112 102521,1,,,,
449,100112 104438,1,,,,
450,100112 104438,2,,,,
451,100113 100114,1,,,,
452,100113 100114,2,,,,
453,100113 100114,3,,,,
454,100113 100127,1,,,,
455,100113 100127,2,,,,
456,100113 100243,1,,,,
