geometry_id,geometry
141,"LINESTRING(1529216 1002028,1529268.322 1002870.032)"
142,"LINESTRING(1529216 1002028,1529205.521 1001076.858)"
143,"LINESTRING(1530866 999978,1530986.15 1002725.86)"
144,"LINESTRING(1530866 999978,1530911.053 998414.813)"
145,"LINESTRING(1528828 1000599,1529205.521 1001076.858)"
146,"LINESTRING(1528828 1000599,1528549 1000521)"
147,"LINESTRING(1528828 1000599,1529632 999800)"
148,"LINESTRING(1529628 997957,1529792.09 998449)"
149,"LINESTRING(1530919 997728,1530911.053 998414.813)"
150,"LINESTRING(1530110 994476,1530118.445 993463.187)"
151,"LINESTRING(1534967 998908,1534135.817 998704.938)"
152,"LINESTRING(1534967 998908,1535495.441 998665.625)"
153,"LINESTRING(1534967 998908,1532967 998780)"
154,"LINESTRING(1545740 1001048,1543779.963 1000516.199)"
155,"LINESTRING(1544813 995175,1544673.363 998414.5)"
156,"LINESTRING(1544813 995175,1544842.607 992605.813)"
157,"LINESTRING(1534063.084 998195.062,1534135.817 998272.312)"
158,"LINESTRING(1534063.084 998195.062,1533709.9 997965.125)"
159,"LINESTRING(1532629 996816,1533102.459 997425.687)"
160,"LINESTRING(1532629 996816,1533057.35 997143.313)"
161,"LINESTRING(1536999 997172,1537639.448 998429.25)"
162,"LINESTRING(1536999 997172,1537033.299 995883.75)"
163,"LINESTRING(1536999 997172,1538346.989 997638.25)"
164,"LINESTRING(1533814 990698,1532974 990717)"
165,"LINESTRING(1533814 990698,1533899.849 993406.875)"
166,"LINESTRING(1544886 989303,1544854.649 987925.25)"
167,"LINESTRING(1551650 1002132,1554381.104 1001890.772)"
168,"LINESTRING(1551650 1002132,1549114.283 1002645.088)"
169,"LINESTRING(1550957.567 993231.938,1548962.984 993154.125)"
170,"LINESTRING(1550957.567 993231.938,1553625 992985)"
171,"LINESTRING(1549142 981383,1548888 987816)"
172,"LINESTRING(1549142 981383,1543461 981291)"
173,"LINESTRING(1549142 981383,1555450.145 985011.5)"
174,"LINESTRING(1549142 981383,1548717.419 979925.313)"
175,"LINESTRING(1523795 1000815,1523807.302 1000985.663)"
176,"LINESTRING(1523795 1000815,1523604.01 1000761.589)"
177,"LINESTRING(1524505 1000835,1524701.253 1000990.863)"
178,"LINESTRING(1524505 1000835,1524400.879 1000837.602)"
179,"LINESTRING(1523896 999420,1523986.926 1000098.277)"
180,"LINESTRING(1523896 999420,1524350.674 999417.688)"
181,"LINESTRING(1523896 999420,1523599.023 999417.688)"
182,"LINESTRING(1523896 999420,1524017.925 998450.875)"
183,"LINESTRING(1524016 997682,1524296.985 997739.875)"
184,"LINESTRING(1524016 997682,1523557.312 997704.5)"
185,"LINESTRING(1524016 997682,1524048.073 997023.938)"
186,"LINESTRING(1526554 997415,1525569 997743)"
187,"LINESTRING(1526554 997415,1526983.22 998226.25)"
188,"LINESTRING(1526554 997415,1525532 997016)"
189,"LINESTRING(1527270 994835,1526415.594 994798.375)"
190,"LINESTRING(1527270 994835,1527250.887 993468.813)"
191,"LINESTRING(1524669 994923,1525589.57 994798.375)"
192,"LINESTRING(1524669 994923,1524656 993816)"
193,"LINESTRING(1524669 994923,1523506.968 995549.813)"
194,"LINESTRING(1524121 992095,1524656 993155)"
195,"LINESTRING(1524121 992095,1523380.122 992111.875)"
196,"LINESTRING(1524121 992095,1523686 990507)"
197,"LINESTRING(1524230.643 989624.25,1523362 989600)"
198,"LINESTRING(1524230.643 989624.25,1524229.031 988220.375)"
199,"LINESTRING(1524230.643 989624.25,1523686 990507)"
200,"LINESTRING(1526921 990858,1527489.4 990826.938)"
201,"LINESTRING(1529873 988602,1530273.441 988137.188)"
202,"LINESTRING(1524997 982880,1527513.232 982840.5)"
203,"LINESTRING(1524997 982880,1522442.055 982901.875)"
204,"LINESTRING(1530660 979992,1527469 980041)"
205,"LINESTRING(1530660 979992,1532828 979930)"
206,"LINESTRING(1535529 982777,1538172.162 982719.938)"
207,"LINESTRING(1535529 982777,1533667 982717)"
208,"LINESTRING(1540821 979579,1538131 979607)"
209,"LINESTRING(1540821 979579,1543432 979510)"
210,"LINESTRING(1525265 969027,1525214 971057)"
211,"LINESTRING(1525265 969027,1527286 968968)"
212,"LINESTRING(1533338 972945,1532722.92 973002.313)"
213,"LINESTRING(1548642.553 971686.688,1549253 974597)"
214,"LINESTRING(1548642.553 971686.688,1548604.491 969924.938)"
215,"LINESTRING(1523285 1000764,1523318.069 1000995.071)"
216,"LINESTRING(1523285 1000764,1523604.01 1000761.589)"
217,"LINESTRING(1523285 1000764,1523106.381 1000783.384)"
218,"LINESTRING(1523306 999424,1523599.023 999417.688)"
219,"LINESTRING(1523306 999424,1523133.095 999440.563)"
220,"LINESTRING(1522083 999061,1523133.095 999440.563)"
221,"LINESTRING(1522083 999061,1522821.795 999240.938)"
222,"LINESTRING(1522083 999061,1522077.381 998442.375)"
223,"LINESTRING(1522083 999061,1521245 999252)"
224,"LINESTRING(1520116 997501,1520115.865 997029.938)"
225,"LINESTRING(1520116 997501,1520505.494 998551.125)"
226,"LINESTRING(1522097 997292,1522137.046 997021.125)"
227,"LINESTRING(1522097 997292,1522077.381 998442.375)"
228,"LINESTRING(1523342 997697,1523290.754 998448.75)"
229,"LINESTRING(1523342 997697,1523087.002 997722.938)"
230,"LINESTRING(1523342 997697,1523557.312 997704.5)"
231,"LINESTRING(1523342 997697,1523316.885 997023.063)"
232,"LINESTRING(1522173 994087,1523479 994212)"
233,"LINESTRING(1522173 994087,1521238.59 996178.5)"
234,"LINESTRING(1522173 994087,1522139.969 993302.188)"
235,"LINESTRING(1521724 992769,1520567.833 992949.25)"
236,"LINESTRING(1521724 992769,1522558.585 992667.375)"
237,"LINESTRING(1521724 992769,1521700.592 993211.25)"
238,"LINESTRING(1518308 993869,1520626 994451)"
239,"LINESTRING(1518308 993869,1515371.363 993317.367)"
240,"LINESTRING(1511720 988604,1510509 988592)"
241,"LINESTRING(1511720 988604,1511699 989783)"
242,"LINESTRING(1509143 983200,1509123 982760)"
243,"LINESTRING(1509143 983200,1510501.416 983183.875)"
244,"LINESTRING(1517101 987986,1517103 985345)"
245,"LINESTRING(1517101 987986,1516748.155 990703.938)"
246,"LINESTRING(1519133 986857,1518322 986867)"
247,"LINESTRING(1506435 978807,1506545.683 982755.25)"
248,"LINESTRING(1506435 978807,1506440.87 974771.125)"
249,"LINESTRING(1506435 978807,1510468.019 978797.75)"
250,"LINESTRING(1512856 978801,1515287 978803)"
251,"LINESTRING(1512856 978801,1510468.019 978797.75)"
252,"LINESTRING(1512856 978801,1512944 982732)"
253,"LINESTRING(1518350 974704,1519095 982636)"
254,"LINESTRING(1518350 974704,1522331 974656)"
255,"LINESTRING(1520493 1001822,1520512.343 1001564.571)"
256,"LINESTRING(1520493 1001822,1520513.479 1002069.335)"
257,"LINESTRING(1522624 1001774,1522645.373 1002001.764)"
258,"LINESTRING(1522624 1001774,1522854 1001754)"
259,"LINESTRING(1522624 1001774,1522411.434 1001766.444)"
260,"LINESTRING(1522624 1001774,1522603.035 1001517.234)"
261,"LINESTRING(1521875 1000633,1522396.801 1000625.066)"
262,"LINESTRING(1521875 1000633,1522110.254 1000135.979)"
263,"LINESTRING(1521875 1000633,1522100 1000948)"
264,"LINESTRING(1521875 1000633,1521279.811 1000644.577)"
265,"LINESTRING(1520444 1000482,1521279.811 1000581.167)"
266,"LINESTRING(1520444 1000482,1520431.351 999712.938)"
267,"LINESTRING(1520444 1000482,1519694 1000492)"
268,"LINESTRING(1520444 1000482,1520460.36 1001068.936)"
269,"LINESTRING(1513412 1001708,1513827.56 1002236.353)"
270,"LINESTRING(1513412 1001708,1514771.886 1001738.953)"
271,"LINESTRING(1513412 1001708,1512082.656 1001820.26)"
272,"LINESTRING(1513412 1001708,1512998.637 1001140.083)"
273,"LINESTRING(1516817 1001525,1516765.268 1002149.878)"
274,"LINESTRING(1516817 1001525,1516729.835 1001641.57)"
275,"LINESTRING(1516817 1001525,1516740.54 1001071.723)"
276,"LINESTRING(1517404 999920,1517412 1000869)"
277,"LINESTRING(1517404 999920,1518187 1000829)"
278,"LINESTRING(1517404 999920,1516489 999921)"
279,"LINESTRING(1514293 999968,1514761 1000788)"
280,"LINESTRING(1514293 999968,1515648 999952)"
281,"LINESTRING(1514293 999968,1512043.071 999956.375)"
282,"LINESTRING(1514293 999968,1514286.769 998654.875)"
283,"LINESTRING(1514264 997838,1514286.769 998654.875)"
284,"LINESTRING(1514264 997838,1511944.727 997772.062)"
285,"LINESTRING(1508281 1000714,1508272.811 1001219.11)"
286,"LINESTRING(1509462 1000025,1509535.195 1001186.416)"
287,"LINESTRING(1509462 1000025,1512043.071 999956.375)"
288,"LINESTRING(1509462 1000025,1507084.155 999960.306)"
289,"LINESTRING(1512160.82 994008.525,1511484 995972)"
290,"LINESTRING(1512160.82 994008.525,1512250.002 993295.071)"
291,"LINESTRING(1508885 994663,1510581.058 994813.813)"
292,"LINESTRING(1508885 994663,1508745.998 995968.938)"
293,"LINESTRING(1508885 994663,1507167.1 995336.091)"
294,"LINESTRING(1506743.03 990864.869,1503896 989828)"
295,"LINESTRING(1506743.03 990864.869,1507198.89 989537.562)"
296,"LINESTRING(1502729.852 993094.412,1501300.104 993442.875)"
297,"LINESTRING(1506541.825 984781.791,1506571.249 985429.109)"
298,"LINESTRING(1506541.825 984781.791,1503893.706 983840.237)"
299,"LINESTRING(1506541.825 984781.791,1506545.683 982755.25)"
300,"LINESTRING(1493295 990622,1493336.673 994106.688)"
301,"LINESTRING(1493295 990622,1495965 990603)"
302,"LINESTRING(1493295 990622,1490760.387 990645.25)"
303,"LINESTRING(1493295 990622,1493786.506 986492.375)"
304,"LINESTRING(1498545 992005,1498566.361 996129.188)"
305,"LINESTRING(1498545 992005,1501275 991957)"
306,"LINESTRING(1498545 992005,1495995 992023)"
307,"LINESTRING(1498545 992005,1498523.174 987848.25)"
308,"LINESTRING(1502039.24 987256.053,1501304.434 985487.956)"
309,"LINESTRING(1502039.24 987256.053,1503923.13 987621.163)"
310,"LINESTRING(1502039.24 987256.053,1502689.243 988973.919)"
