node_id,name,x_coord,y_coord,z_coord,node_type,ctrl_type,zone
644,,-71.0987155,42.3726027,,,,
667,,-71.09182,42.372562,,traffic_signals,,
991,,-71.133381,42.377428999999985,,,,
669,,-71.1400181,42.37226760000001,,,,
934,,-71.119617,42.37624899999998,,,,
1419,,-71.1579616,42.393100999999994,,,,
1227,,-71.1414887,42.38487149999999,,,,
965,,-71.1431092,42.37703609999998,,,,
1423,,-71.12583210002259,42.39347740000993,,,,
734,,-71.09353930000002,42.372064799999976,,,,
1047,,-71.153053,42.37930800000001,,,,
1228,,-71.118103,42.38530900000001,,,,
1481,,-71.1580338,42.393397099999994,,,,
459,,-71.07316303062291,42.3692254663588,,traffic_signals,,
1230,,-71.1193411499981,42.38536775001378,,,,
676,,-71.1207655,42.37281519999998,,,,
784,,-71.105111,42.367095999999975,,,,
399,,-71.10482460000001,42.3673442,,,,
1632,,-71.112446,42.373839,,,,
103,,-71.0871446,42.35923899999999,,,,
310,,-71.105693,42.36659529999998,,traffic_signals,,
1565,,-71.1303935,42.4002626,,,,
70,,-71.0905168,42.3581119,,,,
506,,-71.1146401,42.36932009999998,,,,
797,,-71.1015247,42.374313199999996,,,,
1619,,-71.1012274,42.37378309999999,,traffic_signals,,
334,,-71.0923686,42.36677689999999,,,,
1127,,-71.11396800000001,42.38255499999998,,,,
332,,-71.0858928,42.366907600000005,,,,
24,,-71.1052874,42.35502499999998,,,,
823,,-71.10600999998361,42.37439950005416,,,,
230,,-71.10820760004245,42.36405575003226,,,,
1620,,-71.106653,42.373711999999976,,,,
911,,-71.122151,42.376533999999985,,traffic_signals,,
706,,-71.109725,42.37277199999998,,,,
14,,-71.1044373,42.355442700000005,,,,
742,,-71.1224585,42.36979689999998,,traffic_signals,,
681,,-71.1336473,42.37311229999998,,,,
919,,-71.1209747,42.375971,,traffic_signals,,
1576,,-71.1325737,42.40171500000001,,,,
848,,-71.1199949,42.37553739999998,,,,
204,,-71.0968764,42.36187689999997,,,,
636,,-71.1346304,42.3719743,,,,
1633,,-71.10305,42.37401799999998,,,,
702,,-71.1031766499874,42.373362800003186,,,,
735,,-71.107397,42.37184,,,,
587,,-71.0796804,42.37171309999997,,,,
657,,-71.1079668,42.372069599999996,,,,
487,,-71.117266,42.369144099999964,,traffic_signals,,
1624,,-71.121852,42.37353199999999,,,,
496,,-71.1181448,42.369596299999984,,,,
630,,-71.11342510000001,42.371844599999996,,,,
392,,-71.0932339,42.36748899999998,,,,
682,,-71.1198964,42.37335739999999,,,,
727,,-71.1068324,42.37161609999998,,,,
778,,-71.093674,42.36718850000001,,,,
733,,-71.1169476,42.3716083,,,,
315,,-71.0940434,42.366913899999986,,,,
598,,-71.1060882,42.37132389999997,,,,
75,,-71.1155893,42.35884609999997,,traffic_signals,,
578,,-71.1159475,42.371363699999996,,,,
1032,,-71.14523504993717,42.378673250048195,,,,
475,,-71.0907622,42.36803879999997,,,,
717,,-71.1156742,42.37158159999999,,,,
425,,-71.0905783,42.36837579999998,,,,
409,,-71.092672,42.36770599999998,,,,
330,,-71.0942536,42.3666553,,,,
1485,,-71.133128,42.39397900000001,,,,
239,,-71.1011713,42.363904299999994,,traffic_signals,,
591,,-71.107894,42.371151999999995,,,,
996,,-71.132466,42.37752299999999,,,,
722,,-71.1188907,42.37144669999997,,,,
1469,,-71.133149,42.39442399999999,,,,
597,,-71.0901378,42.371586400000005,,,,
629,,-71.107275,42.370943,,,,
1460,,-71.14226974109748,42.39462891097864,,traffic_signals,,
605,,-71.081503,42.37122999999999,,,,
1457,,-71.1308225,42.3947602,,,,
536,,-71.10053800000001,42.36912999999998,,,,
1422,,-71.134161,42.393557999999985,,,,
648,,-71.1218821,42.37229559999997,,traffic_signals,,
732,,-71.11772688016703,42.37171230535073,,,,
728,,-71.07941725003558,42.37240355000888,,traffic_signals,,
719,,-71.0795883,42.372107899999975,,,,
736,,-71.1209338,42.37163019999996,,,,
1003,,-71.1409859,42.37751619999999,,,,
454,,-71.108778,42.36837999999999,,traffic_signals,,
479,,-71.1076925,42.36784209999999,,,,
433,,-71.1083835,42.36820089999997,,,,
484,,-71.101223,42.368114999999996,,,,
582,,-71.1119996,42.371454199999995,,traffic_signals,,
1352,,-71.132635,42.38926899999998,,traffic_signals,,
1374,,-71.132694,42.39026200000001,,,,
1377,,-71.132664,42.389626999999976,,,,
643,,-71.111429,42.372312,,,,
721,,-71.1170584,42.371419200000005,,,,
431,,-71.1017379,42.36829509999998,,traffic_signals,,
1364,,-71.1292135,42.390606999999996,,,,
1085,,-71.1524239,42.38004199999998,,,,
1549,,-71.1409599,42.3989138,,,,
1394,,-71.130941,42.39089299999997,,,,
1395,,-71.130461,42.390817999999975,,,,
110,,-71.1043759,42.35700509999999,,,,
867,,-71.130461,42.37568999999998,,,,
296,,-71.09412800000001,42.36551099999997,,,,
480,,-71.10081,42.36796899999999,,,,
262,,-71.093324,42.365163999999986,,,,
47,,-71.1055132,42.35594619999998,,,,
278,,-71.1099677,42.36537529999999,,,,
277,,-71.1096603,42.365399499999995,,,,
357,,-71.0926032,42.364844099999985,,,,
558,,-71.1177529,42.370254199999984,,,,
600,,-71.101992,42.37142699999998,,,,
198,,-71.09387160000213,42.36189750000052,,,,
196,,-71.082131,42.362099099999966,,,,
941,,-71.1185764,42.375088900000016,,traffic_signals,,
555,,-71.0785958,42.370855199999994,,traffic_signals,,
575,,-71.0758254,42.371760900000005,,,,
683,,-71.1113657,42.37341690000001,,,,
689,,-71.1115721,42.37309969999997,,,,
963,,-71.1091017,42.37769559999998,,,,
624,,-71.115181,42.37075299999998,,,,
176,,-71.1135298,42.3622709,,traffic_signals,,
166,,-71.11242595006308,42.36264010004772,,,,
141,,-71.07974533065777,42.361788721766075,,,,
1296,,-71.1413215,42.3869807,,,,
1297,,-71.137901,42.387153999999974,,,,
1,,-71.1103867,42.353755299999996,,traffic_signals,,
