link_geom_id,name,geometry,length,row_width,jurisdiction,facility_type
18,Fresh Pond Parkway,"LINESTRING (323582.0057425376 4693938.449851819, 323577.2742097844 4693940.302562408, 323572.5205005942 4693942.255838312, 323568.5453008096 4693944.045033648, 323565.0215249121 4693945.76728823, 323561.4545137869 4693947.735086165, 323557.5819280989 4693949.999490333, 323554.7687274989 4693951.803829771, 323551.8626129619 4693953.843853698, 323548.667670588 4693956.191172633, 323545.6396336199 4693958.623174152, 323542.486871823 4693961.336108628, 323539.1920791413 4693964.297078603, 323536.2221315878 4693967.072072909, 323532.9530548957 4693970.399073935, 323529.578802926 4693974.128740795, 323526.146533896 4693978.170992677, 323522.8133461798 4693982.221858185, 323519.3705023185 4693986.497720311, 323515.9233519656 4693990.929252812, 323512.2536966362 4693996.010863104, 323508.2772460103 4694001.666898494, 323504.9664949038 4694006.606120793, 323501.4795571014 4694012.072026965, 323498.2023739748 4694017.688202341, 323495.203438719 4694023.230690024, 323492.1078465141 4694029.186740659, 323489.2261454953 4694034.804053205, 323486.2077437075 4694040.880384865, 323483.3429726535 4694046.841727141, 323481.2094094229 4694051.417914378, 323479.0260644796 4694056.306478389, 323476.5235587281 4694062.258682257, 323474.1223756209 4694068.308333036, 323472.1121086271 4694073.525874536, 323470.0852730073 4694079.066066083, 323468.0234414726 4694084.851592854, 323466.1734288264 4694090.54288327, 323464.4085516686 4694096.343139921, 323462.8102986563 4694102.216971836, 323461.5913608173 4694107.125648882, 323460.3727052156 4694112.045430577)",219.90603476264528,15.2,,primary
19,Fresh Pond Lane,"LINESTRING (323407.2110619179 4694076.453000914, 323405.6028092032 4694073.77130466, 323404.4003920886 4694071.501596848, 323403.3027603833 4694069.140352338, 323402.1604213293 4694066.313556909, 323401.1340069806 4694063.183826453, 323400.2858116101 4694060.260713656, 323399.6539166574 4694057.421031361, 323399.0280114689 4694054.492306497, 323398.6680855169 4694051.656869248, 323398.4890054142 4694048.80575474, 323398.5112651469 4694045.771774206)",32.33870589476865,11.6,,residential
21,Fresh Pond Lane,"LINESTRING (323422.5369306465 4693992.36376487, 323417.0792267129 4693998.735044497, 323415.0837499352 4694001.27437716, 323413.2900732348 4694003.975287407, 323411.8064512518 4694006.557256665, 323410.280720651 4694009.429186305, 323408.9054291452 4694012.386209833, 323406.8298126712 4694016.972070076, 323404.858322207 4694021.766419366, 323402.61034959 4694027.356660581, 323401.4278638754 4694031.09772939, 323400.3990037391 4694034.723805708, 323399.5359268266 4694038.390142424, 323398.8676400718 4694041.940447202, 323398.5112651469 4694045.771774206)",59.51488071025749,11.6,,residential
23,Waverly Street,"LINESTRING (326694.4691090937 4691560.113167037, 326707.2184072698 4691575.453067351, 326725.6870352776 4691596.462515239, 326731.3017602324 4691600.234640112, 326733.5811962871 4691601.767105305, 326736.4316294119 4691602.729884097, 326742.0270677936 4691604.391388398, 326746.0736189005 4691605.735676825, 326751.6207103922 4691606.442831945)",76.13172179337863,13.7,,tertiary
24,Erie Street,"LINESTRING (326753.2713448541 4691623.857492472, 326752.2525319341 4691632.304908484, 326749.5765641844 4691636.060016753, 326746.8264869694 4691640.150292963, 326732.7527765608 4691651.865271596, 326709.8932410243 4691671.519978774, 326658.0478877977 4691713.670227858)",133.3249078543199,10.4,,"['residential', 'tertiary']"
25,Sidney Street,"LINESTRING (326763.8625244474 4691823.71712407, 326752.1759690066 4691811.673056924, 326708.7102554294 4691766.871298612, 326658.0478877977 4691713.670227858)",152.66814295641808,12.2,,tertiary
26,Erie Street,"LINESTRING (326553.7965262078 4691802.208098987, 326559.0200983693 4691797.84533663, 326581.2614573278 4691779.216513162, 326622.0704367672 4691744.005644373, 326658.0478877977 4691713.670227858)",136.77748831866464,12.2,,residential
27,Huron Avenue,"LINESTRING (323273.3396872358 4694073.844960216, 323268.8472009356 4694072.436198996, 323264.1264333284 4694071.122099927, 323259.4603927316 4694070.017738423, 323254.5987225976 4694068.996103151, 323249.699533554 4694068.119867902, 323244.2004563526 4694067.303240547, 323236.8958244321 4694066.432241417, 323228.8757607534 4694065.612664163, 323226.2643093137 4694065.289759783, 323223.6506125199 4694064.878021596, 323221.5149909967 4694064.476425014, 323219.383953892 4694063.930264499, 323217.1428002528 4694063.264661781, 323215.0896021215 4694062.538752256)",59.49165104190671,21.3,,secondary
29,Aberdeen Avenue,"LINESTRING (323231.7554359096 4694027.649887697, 323229.1598394806 4694035.126810144, 323227.2042838087 4694040.220822726, 323223.0287884947 4694050.704429132, 323221.601659649 4694053.562801564, 323219.7730787419 4694056.509100249, 323217.9275665599 4694059.111372796, 323216.4255050965 4694060.960499322, 323215.0896021215 4694062.538752256)",38.95842187803169,30.5,,secondary
30,Huron Avenue,"LINESTRING (323273.3396872358 4694073.844960216, 323278.2673008195 4694075.520516752, 323282.7665159177 4694077.195788222, 323287.2645090709 4694079.148879181, 323292.3077424667 4694081.488210263, 323296.6747458692 4694083.800181976)",25.410031733664425,21.3,,secondary
31,Larchwood Drive,"LINESTRING (323322.4910042135 4694047.50259029, 323318.994559371 4694049.324287668, 323315.6998170645 4694051.629795025, 323312.4602665115 4694054.489481489, 323309.595593414 4694057.839714613, 323307.2889860787 4694061.431415055, 323305.2222602991 4694065.061502565, 323303.3121459432 4694069.020977633, 323301.3648801758 4694073.792526415, 323299.938651534 4694077.339767574, 323298.6668031499 4694080.149754659, 323296.6747458692 4694083.800181976)",45.75471892837135,10.4,,residential
32,Huron Avenue,"LINESTRING (323450.2654384946 4694193.680579419, 323439.697812126 4694188.858292942, 323434.4488868378 4694186.524054672, 323427.9338102192 4694183.310646137, 323420.8899651765 4694179.710580852, 323413.638992232 4694175.737962998, 323407.1255025145 4694171.935627201, 323399.7123033709 4694167.411547372, 323393.3652399952 4694163.349458856, 323387.5997985703 4694159.483807043, 323382.4804417962 4694155.757405732, 323377.3693124274 4694152.030800134, 323372.4683073771 4694148.143332001, 323367.8480569418 4694144.282111586, 323363.7111990546 4694140.642026871, 323359.587538282 4694136.546042545, 323332.1184771229 4694108.050057345, 323328.2977975814 4694104.53534297, 323324.9129822463 4694101.642972909, 323321.1934174786 4694098.870173962, 323317.6523517446 4694096.315096733, 323314.0218427198 4694093.806726193, 323310.0055033991 4694091.352549261, 323305.7410499576 4694088.860196308, 323301.5040974509 4694086.478265406, 323296.6747458692 4694083.800181976)",190.43528733345593,21.3,,secondary
34,Huron Avenue,"LINESTRING (323132.4237764631 4694078.384468977, 323163.1522657337 4694071.207360632, 323197.5377629984 4694062.69347356, 323202.9914772351 4694061.388926182, 323204.9105176245 4694060.718181572, 323207.2456066789 4694059.559130094, 323208.9326276431 4694058.183118675)",79.40376742066528,21.3,,tertiary
35,Huron Avenue,"LINESTRING (323215.0896021215 4694062.538752256, 323217.1428002528 4694063.264661781, 323219.383953892 4694063.930264499, 323221.5149909967 4694064.476425014, 323223.6506125199 4694064.878021596, 323226.2643093137 4694065.289759783, 323228.8757607534 4694065.612664163, 323236.8958244321 4694066.432241417, 323244.2004563526 4694067.303240547, 323249.699533554 4694068.119867902, 323254.5987225976 4694068.996103151, 323259.4603927316 4694070.017738423, 323264.1264333284 4694071.122099927, 323268.8472009356 4694072.436198996, 323273.3396872358 4694073.844960216)",59.49165104190671,21.3,,secondary
36,,"LINESTRING (323231.7554359096 4694027.649887697, 323231.4595928292 4694030.613006301, 323231.3493716926 4694032.771410587, 323231.4112930381 4694035.54770519, 323231.6450808519 4694037.952979128, 323232.0725327523 4694040.197798873, 323232.603365839 4694042.295557418, 323233.4405044328 4694044.452244041, 323234.7326087001 4694047.008556672, 323236.3698425347 4694049.856156751, 323238.0617149253 4694052.257918932, 323239.61400095 4694054.35208856, 323241.5924386324 4694056.357709698, 323243.680244769 4694058.127227485, 323246.4663570541 4694060.145774783, 323250.4934959705 4694062.699647431, 323255.2416731539 4694065.424197569, 323260.4931818773 4694068.180478739, 323265.8418954852 4694070.545407378, 323273.3396872358 4694073.844960216)",67.9970842965688,30.5,,secondary_link
37,Huron Avenue,"LINESTRING (323296.6747458692 4694083.800181976, 323292.3077424667 4694081.488210263, 323287.2645090709 4694079.148879181, 323282.7665159177 4694077.195788222, 323278.2673008195 4694075.520516752, 323273.3396872358 4694073.844960216)",25.410031733664425,21.3,,secondary
38,Huron Avenue,"LINESTRING (323215.0896021215 4694062.538752256, 323213.2054560918 4694064.264198925, 323211.4550977327 4694065.741813118, 323209.2771852489 4694067.252456827, 323207.2753478708 4694068.558645097, 323204.7920679215 4694069.721442278, 323202.530331415 4694070.523074683, 323199.7419641351 4694071.349130274, 323165.4742965196 4694079.960033046, 323143.0318586563 4694085.116458035, 323135.6630657369 4694086.269470342)",83.75475107821515,21.3,,tertiary
41,Galileo Galilei Way,"LINESTRING (327898.8056894891 4692165.316590089, 327906.9708105681 4692179.36011403, 327931.8247422999 4692293.058946719, 327940.0621318537 4692329.489379273, 327949.1510098052 4692371.398828979, 327952.8219775568 4692388.330627849)",230.1872534637137,12.2,,secondary
42,Galileo Galilei Way,"LINESTRING (327943.0073238576 4692395.660729557, 327938.8821883391 4692377.684555784, 327929.9295702642 4692338.638402984, 327927.5360438924 4692325.741829735, 327922.3580990707 4692297.791651802, 327915.4375699552 4692265.995474543, 327905.2458388209 4692219.124338805, 327896.9480231549 4692180.917663955, 327898.8056894891 4692165.316590089)",235.36096129265468,12.2,,secondary
43,Main Street,"LINESTRING (328045.4405248699 4692151.02367781, 328027.5734587191 4692152.929317496, 327989.0036547555 4692157.365975027, 327984.3636600093 4692158.002228323, 327980.6012241908 4692158.805803009, 327975.5114820291 4692160.253107294, 327971.8470503426 4692161.020945033, 327966.8828885802 4692161.542956966, 327958.8283430291 4692162.385378129, 327922.6253568722 4692166.897559621, 327898.8056894891 4692165.316590089)",147.80395966261818,21.3,,secondary
44,Vassar Street,"LINESTRING (327484.7564620379 4691890.090027214, 327496.275604462 4691897.072740002, 327545.263265078 4691926.776473794, 327571.5889274687 4691942.73888062, 327583.9193037864 4691950.21285114, 327642.7237189924 4691986.075362628, 327662.1171342994 4691998.286608377, 327674.6652234645 4692006.244252665, 327679.6628752885 4692009.421181046, 327714.0844346975 4692031.262499392, 327723.6860455693 4692037.359438074, 327733.3870087549 4692043.4761658, 327768.763435135 4692065.960894587, 327779.8031838118 4692073.578057245, 327790.6837076744 4692081.088043678, 327822.8892612418 4692103.317715271, 327834.1053390577 4692111.408392889, 327840.3514137183 4692115.765818319, 327848.159300146 4692120.973713697, 327858.3466852204 4692127.445301783, 327880.9842423811 4692141.599526569, 327884.2324387343 4692143.675181305, 327887.1136035016 4692145.90430609, 327889.9691554672 4692148.767388587, 327892.2792776054 4692151.566107462, 327893.9981098463 4692154.44603287, 327898.8056894891 4692165.316590089)",499.8411521585457,17.1,,"['tertiary', 'secondary']"
45,Main Street,"LINESTRING (327729.6174441433 4692184.600984095, 327735.1558486128 4692183.975780345, 327783.2581481255 4692178.492041646, 327828.2959265202 4692173.372908669, 327830.4982814068 4692173.129844766, 327873.7370855879 4692167.566377298, 327878.1503089144 4692167.091180739, 327898.8056894891 4692165.316590089)",170.29641000177003,21.3,,"['tertiary', 'secondary']"
46,Berkeley Street,"LINESTRING (324909.9734785877 4694053.342468019, 324958.40438174 4694006.88519113)",67.110587511192,12.2,,residential
47,Berkeley Street,"LINESTRING (325044.9663100194 4693940.163080179, 325013.9429294429 4693964.606103749, 324981.6764746707 4693988.747041334, 324958.40438174 4694006.88519113)",109.29910935538857,12.2,,residential
48,Berkeley Place,"LINESTRING (324824.7732084801 4693898.006357397, 324845.4053537918 4693922.490124426, 324863.7010681332 4693935.921149386, 324890.2075560446 4693948.257768013, 324910.1552871033 4693961.869776888, 324933.4767540197 4693978.619675697, 324958.40438174 4694006.88519113)",174.50087182215185,10.7,,residential
49,Craigie Street,"LINESTRING (324909.9734785877 4694053.342468019, 324885.745913928 4694043.171002316)",26.276103285597788,,,tertiary
50,Craigie Circle,"LINESTRING (324855.5481623438 4694107.128110423, 324885.745913928 4694043.171002316)",70.72775889338847,9.1,,residential
51,Craigie Street,"LINESTRING (324714.0453261687 4693970.136876442, 324885.745913928 4694043.171002316)",186.58798294414422,,,tertiary
52,Craigie Street,"LINESTRING (324909.9734785877 4694053.342468019, 324992.7914278356 4694088.581612944, 325004.4304001158 4694093.134938573)",102.50132694886969,,,tertiary
53,Concord Avenue,"LINESTRING (324872.4230632532 4694192.151460064, 324907.8267059141 4694165.042470009, 324933.1386116947 4694145.486368193, 324956.721058505 4694127.262555468, 324992.2905197431 4694101.816574309, 325004.4304001158 4694093.134938573)",165.0393076178587,15.2,,tertiary
54,Concord Avenue,"LINESTRING (325096.097522876 4694018.107799193, 325058.4621706662 4694048.271609952, 325006.3833156272 4694091.508278405, 325004.4304001158 4694093.134938573)",118.46074938461705,15.2,,tertiary
58,Broadway,"LINESTRING (327807.7801780286 4692469.508171774, 327821.9557195277 4692461.937242982, 327852.0475487949 4692445.874887438, 327890.5421680102 4692426.050495485, 327922.6661510897 4692409.516267246, 327927.6213446764 4692406.961121984)",135.18499521521366,24.4,,tertiary
59,Holworthy Street,"LINESTRING (322940.8136369787 4693930.116089615, 322930.2242436675 4693994.763947965)",65.50939505056411,12.8,,residential
60,High Street,"LINESTRING (323097.0127091841 4693992.266182536, 323058.2836419861 4694001.690445043, 323029.5091216191 4694007.307408554, 323017.0912179933 4694008.17716033, 323004.0408055012 4694006.840647347, 322970.797681469 4694001.903925649, 322943.6666679323 4693997.590450375, 322935.9143934899 4693995.96439865, 322930.2242436675 4693994.763947965)",169.5596687681901,10.4,,residential
61,Holmes Street,"LINESTRING (322940.8136369787 4693930.116089615, 323007.9840143628 4693943.883365002, 323014.231684808 4693944.325306771, 323021.5797639348 4693943.650490862, 323072.1711127444 4693931.892604535)",134.14871955030026,10.7,,residential
62,Park Avenue,"LINESTRING (323046.564110494 4693886.872261209, 323053.8862435588 4693896.242890314, 323065.7330980535 4693918.388359942, 323072.1711127444 4693931.892604535)",51.96761188895791,13.7,,residential
63,Park Avenue,"LINESTRING (323097.0127091841 4693992.266182536, 323072.1711127444 4693931.892604535)",65.28456045876338,13.7,,residential
64,Concord Avenue,"LINESTRING (325004.4304001158 4694093.134938573, 325006.3833156272 4694091.508278405, 325058.4621706662 4694048.271609952, 325096.097522876 4694018.107799193)",118.46074938461703,15.2,,tertiary
65,Concord Avenue,"LINESTRING (325160.6801212491 4693968.492571318, 325135.1059881049 4693988.154331885, 325119.4577898835 4694000.190144814, 325096.097522876 4694018.107799193)",81.44068482625778,15.2,,tertiary
66,Chauncy Street,"LINESTRING (325124.1509589992 4694040.617843415, 325115.9121887559 4694034.001500649, 325096.097522876 4694018.107799193)",35.96800605995951,12.8,,tertiary
67,Concord Avenue,"LINESTRING (325004.4304001158 4694093.134938573, 324992.2905197431 4694101.816574309, 324956.721058505 4694127.262555468, 324933.1386116947 4694145.486368193, 324907.8267059141 4694165.042470009, 324872.4230632532 4694192.151460064)",165.0393076178587,15.2,,tertiary
68,Concord Avenue,"LINESTRING (324854.8147941921 4694206.148137674, 324872.4230632532 4694192.151460064)",22.493512919243514,15.2,,tertiary
69,Parker Street,"LINESTRING (324788.1684142363 4694151.171875745, 324830.0769852363 4694168.678086275, 324841.7590006916 4694173.963408677, 324848.3643123741 4694177.52028693, 324853.6499252538 4694180.354648324, 324872.4230632532 4694192.151460064)",93.91169042034002,12.2,,residential
70,Craigie Street,"LINESTRING (325004.4304001158 4694093.134938573, 324992.7914278356 4694088.581612944, 324909.9734785877 4694053.342468019)",102.50132694886969,,,tertiary
71,Craigie Street,"LINESTRING (324885.745913928 4694043.171002316, 324909.9734785877 4694053.342468019)",26.276103285597788,,,tertiary
72,Berkeley Street,"LINESTRING (324958.40438174 4694006.88519113, 324909.9734785877 4694053.342468019)",67.110587511192,12.2,,residential
73,Craigie Circle,"LINESTRING (324885.745913928 4694043.171002316, 324855.5481623438 4694107.128110423)",70.72775889338847,9.1,,residential
74,Craigie Street,"LINESTRING (324885.745913928 4694043.171002316, 324714.0453261687 4693970.136876442)",186.58798294414422,,,tertiary
75,Buckingham Street,"LINESTRING (324686.3668224991 4694035.298333859, 324714.0453261687 4693970.136876442)",70.79629296909772,11.6,,residential
76,Craigie Street,"LINESTRING (324667.552250858 4693950.55726617, 324714.0453261687 4693970.136876442)",50.447667837292656,,,tertiary
77,Holworthy Street,"LINESTRING (322954.2528210263 4693865.429473372, 322948.0056177351 4693894.955175648)",30.17937447683205,12.8,,residential
78,Holworthy Terrace,"LINESTRING (322911.939410954 4693887.545631083, 322948.0056177351 4693894.955175648)",36.8194598308141,6.7,,residential
79,Park Avenue,"LINESTRING (322954.2528210263 4693865.429473372, 323025.0630797595 4693880.415973327, 323039.9044971435 4693884.151749874, 323046.564110494 4693886.872261209)",94.87701013576095,13.7,,residential
80,Park Avenue,"LINESTRING (323072.1711127444 4693931.892604535, 323065.7330980535 4693918.388359942, 323053.8862435588 4693896.242890314, 323046.564110494 4693886.872261209)",51.967611888957904,13.7,,residential
81,Holworthy Place,"LINESTRING (322970.3843901324 4693787.318799048, 323044.5716545621 4693799.964452687, 323048.2303763907 4693801.949744379, 323051.0630786085 4693805.478200419, 323053.5386908942 4693810.849078964, 323058.441750516 4693823.269885237, 323059.5547171227 4693827.208521127, 323059.7204315845 4693833.760084331, 323053.4271591812 4693861.809007157, 323049.8113945085 4693878.456530032, 323046.564110494 4693886.872261209)",168.6612251090474,7.3,,residential
82,Rindgefield Street,"LINESTRING (324822.4731372648 4695709.830281286, 324824.284260067 4695707.495966295, 324868.0668144758 4695652.220234028, 324870.4334344307 4695647.071963639, 324870.467270931 4695642.50436114, 324848.3003335214 4695582.214038633, 324845.6045536699 4695574.881430649)",155.75179849500094,10.4,,residential
83,Rindge Avenue,"LINESTRING (324761.69145711 4695605.062506732, 324824.1610044627 4695582.596595708, 324845.6045536699 4695574.881430649)",89.17569824811443,,,tertiary
84,Rindge Avenue,"LINESTRING (324884.7684545964 4695560.089013406, 324846.9916122067 4695574.357783177, 324845.6045536699 4695574.881430649)",41.864385165686116,,,tertiary
85,Hollis Street,"LINESTRING (324822.4731372648 4695709.830281286, 324860.3335725493 4695738.382297398, 324911.851648233 4695779.859362053, 324918.7609658762 4695785.419767596)",122.42828253323252,9.8,,residential
89,Brattle Circle,"LINESTRING (323682.9903100051 4693744.565532908, 323683.5809698944 4693741.850577561, 323684.0847015752 4693739.282261332, 323684.5507423714 4693736.526001464, 323686.7755311014 4693709.735920621)",35.07339671692449,6.1,,residential
90,Brattle Circle,"LINESTRING (323686.7755311014 4693709.735920621, 323684.5507423714 4693736.526001464, 323684.0847015752 4693739.282261332, 323683.5809698944 4693741.850577561, 323682.9903100051 4693744.565532908)",35.07339671692449,6.1,,residential
91,Brattle Street,"LINESTRING (323751.090828546 4693760.927675746, 323725.3731957592 4693754.842165238, 323682.9903100051 4693744.565532908)",70.03881453293494,16.2,,secondary
92,Brattle Street,"LINESTRING (323640.7922253715 4693734.762281341, 323682.9903100051 4693744.565532908)",43.32184308219234,16.2,,secondary
93,Brattle Street,"LINESTRING (323682.9903100051 4693744.565532908, 323640.7922253715 4693734.762281341)",43.32184308219234,16.2,,secondary
94,Larch Road,"LINESTRING (323646.4092365846 4693916.392022874, 323644.929417993 4693913.5737008, 323643.8656215591 4693911.244903574, 323642.7811588199 4693908.749956516, 323642.1488457206 4693906.543618096, 323641.6105711946 4693904.146015097, 323641.2682130199 4693901.676804419, 323641.0280123678 4693899.338355009, 323639.5678955575 4693743.0600255, 323639.6913612949 4693740.767965313, 323639.9638677526 4693738.505481976, 323640.3844601849 4693736.561495875, 323640.7922253715 4693734.762281341)",182.75311897725277,12.2,,residential
95,Brattle Street,"LINESTRING (323577.8096265316 4693719.472143481, 323640.7922253715 4693734.762281341)",64.81200561932374,16.2,,secondary
96,Brattle Street,"LINESTRING (323682.9903100051 4693744.565532908, 323725.3731957592 4693754.842165238, 323751.090828546 4693760.927675746)",70.03881453293494,16.2,,secondary
97,Fresh Pond Parkway,"LINESTRING (323977.3988837593 4693610.10407223, 323938.8581370035 4693625.818686852, 323927.7772515444 4693630.408775222, 323916.5772213528 4693635.501892439, 323905.9909565153 4693640.757361042, 323895.3483431946 4693646.392051657, 323884.6442248652 4693652.528319573, 323874.4295333117 4693658.796730923, 323864.1565407109 4693665.366633241, 323854.12081385 4693672.197250633, 323844.3766319702 4693679.153878809, 323834.6592823914 4693686.520966976, 323825.8663012562 4693693.2981108, 323816.3132558535 4693700.972207648, 323806.6724947084 4693709.415213271, 323797.9220472071 4693717.224682742, 323790.6156248142 4693724.142214755, 323783.9435885195 4693730.732656575, 323765.5139169178 4693750.030714428, 323762.7678870582 4693752.544398801, 323760.370418719 4693754.504845098, 323757.5671591571 4693756.708854723, 323754.4885639879 4693758.775354359, 323751.090828546 4693760.927675746)",274.7429942953326,38.1,,trunk
98,Fresh Pond Parkway,"LINESTRING (323693.052434265 4693876.737510944, 323695.9898998558 4693872.996716504, 323698.8743311677 4693869.112811997, 323701.5191627324 4693865.201613196, 323704.0834617192 4693861.036883136, 323706.3399383082 4693857.079916918, 323708.4777941258 4693852.992604292, 323710.4844803984 4693848.930820875, 323712.4346118643 4693844.259336874, 323714.398370637 4693838.820824178, 323722.5158938153 4693814.404544398, 323724.582785846 4693808.807877428, 323726.8580321958 4693803.305963628, 323729.2572226591 4693798.145380747, 323731.822761882 4693793.04727568, 323734.5819874451 4693787.788732028, 323737.7573189888 4693782.041915573, 323740.5416939207 4693777.127194202, 323744.5884494672 4693770.32506601, 323747.6529277976 4693765.736632359, 323751.090828546 4693760.927675746)",130.29446946321363,15.2,,primary
99,Brattle Street,"LINESTRING (323833.7426690657 4693780.657427793, 323815.7055923579 4693776.289337169, 323751.090828546 4693760.927675746)",84.97418131212916,16.2,,tertiary
100,Fulkerson Street,"LINESTRING (328051.244161816 4692592.476149855, 328053.6850190092 4692595.238367455, 328055.7344845205 4692597.832426634, 328057.3412176026 4692602.192900917, 328067.9256046744 4692651.687862039)",62.25322355942721,15.2,,tertiary
101,Rogers Street,"LINESTRING (328243.6909601705 4692622.194193849, 328118.9343322845 4692649.601482547, 328112.8064365403 4692648.352013388, 328106.5958544591 4692645.749040083, 328101.423870693 4692645.176092256, 328067.9256046744 4692651.687862039)",180.04857438396692,8.5,,residential
102,Fulkerson Street,"LINESTRING (328085.2772241721 4692728.127397995, 328083.1318272399 4692721.29129051, 328067.9256046744 4692651.687862039)",78.40996659711259,15.2,,tertiary
