link_id,name,from_node_id,to_node_id,directed,geometry_id,geometry,parent_link_id,dir_flag,length,grade,facility_type,capacity,free_speed,lanes,bike_facility,ped_facility,parking,allowed_uses,jurisdiction,row_width
1024,John F. Kennedy Street,621,741,1,614,,,1,211.1546899246243,,secondary,,25 mph,3,,,,,,19.8
1025,Memorial Drive,1633,741,1,615,,,1,494.7678344011575,,primary,,,4,,,,,,30.2
1026,Memorial Drive,741,1633,1,615,,615,-1,494.7678344011575,,primary,,,4,,,,,,30.2
1027,Memorial Drive,492,482,1,616,,616,-1,88.72542052420157,,primary,,,4,,,,,,30.2
1028,Memorial Drive,482,492,1,616,,,1,88.72542052420157,,primary,,,4,,,,,,30.2
1029,Memorial Drive,492,760,1,617,,617,-1,170.05679282896565,,primary,,,4,,,,,,30.2
1030,Memorial Drive,760,492,1,617,,,1,170.05679282896565,,primary,,,4,,,,,,30.2
1031,DeWolfe Street,740,492,1,618,,,1,91.14310300381533,,tertiary,,,2,,,,,,11.6
1032,Harvard Street,631,641,1,619,,619,-1,31.676191706704774,,tertiary,,25 mph,2,,,,,,14.6
1033,Harvard Street,641,631,1,619,,,1,31.676191706704774,,tertiary,,25 mph,2,,,,,,14.6
1034,Harvard Street,631,716,1,620,,620,-1,93.48814669242998,,tertiary,,25 mph,2,,,,,,14.6
1035,Harvard Street,716,631,1,620,,,1,93.48814669242998,,tertiary,,25 mph,2,,,,,,14.6
1036,Mifflin Place,799,1636,1,621,,,1,66.41370617435203,,residential,,25 mph,2,,,,,,9.1
1037,Mifflin Place,1636,799,1,621,,621,-1,66.41370617435203,,residential,,25 mph,2,,,,,,9.1
1038,Mount Auburn Street,1628,1636,1,622,,,1,55.414859497937755,,tertiary,,,2,,,,,,16.8
1039,Mount Auburn Street,1636,1628,1,622,,622,-1,55.414859497937755,,tertiary,,,2,,,,,,16.8
1040,Mount Auburn Street,771,1636,1,623,,,1,39.90533445360282,,tertiary,,,2,,,,,,16.8
1041,Mount Auburn Street,1636,771,1,623,,623,-1,39.90533445360282,,tertiary,,,2,,,,,,16.8
1042,Hampshire Street,337,361,1,624,,624,-1,106.47310592953764,,tertiary,,25 mph,2,,,,,,20.7
1043,Hampshire Street,361,337,1,624,,,1,106.47310592953764,,tertiary,,25 mph,2,,,,,,20.7
1044,Webster Avenue,355,337,1,625,,,1,62.10263478723748,,residential,,25 mph,2,,,,,,15.2
1045,Webster Avenue,337,355,1,625,,625,-1,62.10263478723748,,residential,,25 mph,2,,,,,,15.2
1046,Hampshire Street,319,337,1,626,,,1,73.35506211262788,,tertiary,,25 mph,2,,,,,,20.7
1047,Hampshire Street,337,319,1,626,,626,-1,73.35506211262788,,tertiary,,25 mph,2,,,,,,20.7
1048,Hampshire Street,368,361,1,627,,627,-1,69.66796673966896,,tertiary,,25 mph,2,,,,,,20.7
1049,Hampshire Street,361,368,1,627,,,1,69.66796673966896,,tertiary,,25 mph,2,,,,,,20.7
1050,Bristol Street,370,368,1,628,,,1,54.0270380561914,,residential,,25 mph,1,,,,,,10.1
1051,Hampshire Street,368,441,1,629,,629,-1,70.63387200673053,,tertiary,,25 mph,2,,,,,,20.7
1052,Hampshire Street,441,368,1,629,,,1,70.63387200673053,,tertiary,,25 mph,2,,,,,,20.7
1053,Clark Street,361,400,1,630,,,1,49.2773197560541,,residential,,25 mph,1,,,,,,9.8
1054,Crossland Street,400,370,1,631,,631,-1,68.67366812037876,,residential,,25 mph,1,,,,,,6.1
1055,Crossland Street,370,400,1,631,,,1,68.67366812037876,,residential,,25 mph,1,,,,,,6.1
1056,Brattle Street,768,1634,1,632,,,1,72.8201105235533,,primary,,25 mph,2,,,,,,17.7
1057,Crawford Street,579,619,1,633,,633,-1,83.21867559860166,,residential,,25 mph,2,,,,,,11.0
1058,Crawford Street,619,579,1,633,,,1,83.21867559860166,,residential,,25 mph,2,,,,,,11.0
1059,Chatham Street,560,579,1,634,,,1,56.020727429829336,,residential,,25 mph,2,,,,,,12.2
1060,Chatham Street,579,560,1,634,,634,-1,56.020727429829336,,residential,,25 mph,2,,,,,,12.2
1061,Chatham Street,579,605,1,635,,635,-1,70.8634558279534,,residential,,25 mph,2,,,,,,12.2
1062,Chatham Street,605,579,1,635,,,1,70.8634558279534,,residential,,25 mph,2,,,,,,12.2
1063,Broadway,619,705,1,636,,,1,69.36040403039293,,tertiary,,,2,,,,,,24.4
1064,Broadway,705,619,1,636,,636,-1,69.36040403039293,,tertiary,,,2,,,,,,24.4
1065,Hancock Street,605,705,1,637,,,1,79.21492812175033,,residential,,25 mph,1,,,,,,12.2
1066,Broadway,705,559,1,638,,638,-1,32.453818364895405,,tertiary,,,2,,,,,,24.4
1067,Broadway,559,705,1,638,,,1,32.453818364895405,,tertiary,,,2,,,,,,24.4
1068,Crossland Street,370,400,1,639,,639,-1,68.67366812037876,,residential,,25 mph,1,,,,,,6.1
1069,Crossland Street,400,370,1,639,,,1,68.67366812037876,,residential,,25 mph,1,,,,,,6.1
1070,Bristol Street,357,370,1,640,,,1,44.63398901877658,,residential,,25 mph,1,,,,,,10.1
1071,Clark Street,400,325,1,641,,,1,43.0834503346632,,residential,,25 mph,1,,,,,,9.8
1072,Market Street,357,325,1,642,,,1,69.38782800592591,,residential,,25 mph,1,,,,,,12.2
1073,Market Street,342,325,1,643,,,1,76.99567204202806,,residential,,25 mph,1,,,,,,12.2
1074,Plympton Street,628,666,1,644,,,1,128.87658207259156,,tertiary,,,2,,,,,,10.4;12.2
1075,Massachusetts Avenue,659,666,1,645,,,1,36.37162354271947,,primary,,25 mph,2,,,,,,18.9
1076,Clark Street,325,332,1,646,,,1,33.539169918432236,,residential,,25 mph,1,,,,,,9.8
1077,Broadway,342,332,1,647,,,1,65.14397674866059,,tertiary,,,2,,,,,,24.4
