node_id,name,x_coord,y_coord,z_coord,node_type,ctrl_type,zone_id,parent_node_id
660,,326297.3873684448,4693321.837091306,,,,,
14,,326685.1171072337,4691386.745084789,,,,,
741,,325240.6883411376,4693017.581279368,,traffic_signals,,,
767,,324328.627332403,4693408.805160886,,,,,
897,,325379.97916924895,4693700.122607645,,traffic_signals,,,
1568,,324496.7569300191,4696582.730430301,,,,,
968,,325459.44832533505,4693649.96108573,,,,,
195,,327325.4608462391,4692085.827835442,,,,,
691,,324244.50703324855,4693284.470868127,,,,,
802,,326850.4157453203,4693446.57319658,,,,,
1627,,326840.1982450462,4693370.614968805,,,,,
616,,326486.5029795899,4693213.588608152,,,,,
564,,328768.31114623736,4693143.273688404,,,,,
646,,326440.21870844346,4693240.247766821,,,,,
492,,325666.4413494901,4692934.426759394,,traffic_signals,,,
819,,326721.2548074854,4693635.026796619,,,,,
482,,325595.33033163927,4692986.443699572,,,,,
641,,325990.1683518903,4693226.426156581,,,,,
799,,325300.98488767486,4693431.091531629,,,,,
361,,327640.77614449186,4692701.617540254,,,,,
768,,325461.518996551,4693407.684550465,,,,,
619,,326532.3751226831,4693187.573327872,,,,,
400,,327603.7142584988,4692669.141844576,,,,,
628,,325699.4757184345,4693207.406071904,,,,,
325,,327572.54470970866,4692639.398897161,,,,,
705,,326592.84780550934,4693153.607594999,,,,,
75,,325776.04027228255,4691787.467462808,,traffic_signals,,,
715,,325781.1469079087,4693178.193980804,,,,,
1068,,323381.71314689354,4694054.896145033,,,,,
752,,327845.8090932127,4692757.658810672,,,,,
626,,325804.252725357,4693201.8299829075,,,,,
438,,327861.87267357507,4692794.70774424,,,,,
385,,327687.6388889683,4692724.574365045,,,,,
332,,327554.52810908464,4692611.109711581,,,,,
231,,326977.33322132635,4692319.691037709,,traffic_signals,,,
560,,326443.68548344163,4693138.205940548,,,,,
1444,,324429.07589048776,4695774.299907004,,,,,
618,,325539.034832029,4693193.449054858,,,,,
1616,,324438.18415309634,4693896.142312008,,,,,
703,,327906.9134952825,4693150.330012939,,,,,
579,,326494.07832934434,4693113.733857062,,,,,
1452,,323672.4330303484,4695816.354691613,,traffic_signals,,,
552,,328616.9261764324,4693093.303144474,,,,,
1451,,324621.505465723,4695806.8263190305,,,,,
527,,327043.82721229584,4692898.679059685,,,,,
1473,,324343.3625309464,4695680.2285090415,,,,,
653,,325295.07824817864,4693293.859606132,,traffic_signals,,,
615,,325625.1316359523,4693220.169723275,,,,,
614,,328787.88971101574,4693214.104581905,,traffic_signals,,,
617,,328776.96740615903,4693186.927842193,,,,,
635,,325371.31557748374,4693218.02219725,,,,,
1009,,323736.70786925487,4693913.027195778,,,,,
460,,326363.2588297549,4692832.200473173,,traffic_signals,,,
756,,326451.1612713894,4692770.253027556,,,,,
457,,326395.2499175448,4692811.506669902,,,,,
762,,326984.63590423984,4692787.364824533,,,,,
716,,326106.4650788015,4693180.156765131,,traffic_signals,,,
1335,,324457.01137903606,4695200.807855479,,traffic_signals,,,
1362,,324454.92306500865,4695311.196032647,,,,,
1367,,324455.62224148045,4695240.621376193,,,,,
694,,326155.814706448,4693274.242017502,,,,,
720,,325689.8293962537,4693186.635094641,,,,,
442,,326942.73169299844,4692808.412102926,,traffic_signals,,,
1352,,324742.38044367183,4695342.319064711,,,,,
1071,,322802.1032939179,4694217.29333254,,,,,
1540,,323798.73165052425,4696289.039425697,,,,,
1482,,324600.97887015925,4695377.643224652,,,,,
1477,,324640.28076663264,4695368.323907015,,,,,
34,,326694.46910909365,4691560.113167037,,,,,
891,,324598.1555243119,4693688.4589035055,,,,,
278,,327561.7397511981,4692483.788464358,,,,,
757,,327018.24310929095,4692770.311787342,,,,,
254,,327626.99778098415,4692443.625544672,,,,,
56,,326597.8904716373,4691444.849433068,,,,,
408,,326257.0111525412,4692500.981086309,,,,,
405,,326282.3914448798,4692503.039921351,,,,,
295,,327685.47928105976,4692406.6412092615,,,,,
592,,325629.4206980618,4693058.69472056,,,,,
708,,326930.4103721678,4693156.705215466,,,,,
201,,327571.9967992983,4692080.716599189,,,,,
200,,328540.3764463732,4692080.648926539,,,,,
834,,325574.99758179474,4693597.245293026,,traffic_signals,,,
546,,328855.28582496755,4693045.825018021,,traffic_signals,,,
700,,329076.9914595112,4693166.747869905,,,,,
1635,,326164.0751973912,4693396.804068086,,,,,
681,,326146.20560279075,4693362.003462768,,,,,
1595,,326362.27896399354,4693867.295184149,,,,,
569,,325842.5722568586,4693108.808714978,,,,,
183,,325955.10899909865,4692163.547767182,,traffic_signals,,,
168,,326038.20550766157,4692198.437596504,,,,,
141,,328742.10942457116,4692055.021392816,,,,,
1305,,323735.5660724505,4694964.694546222,,,,,
1323,,324017.62342758593,4694976.846647326,,,,,
1,,326190.4705268776,4691211.519302215,,,,,
510,,326523.29776390654,4692963.009077268,,,,,
489,,326497.2244957884,4692984.766690901,,,,,
1629,,326206.5459842536,4693371.926590429,,traffic_signals,,,
1172,,324293.9878946279,4694344.438829422,,,,,
666,,325746.5230671264,4693327.257416836,,,,,
11,,326199.61807280855,4691242.0478006,,,,,
430,,327231.16962770105,4692280.498156471,,,,,
1307,,323938.12003222504,4695008.95976882,,,,,
274,,326664.14529488166,4692478.262950122,,traffic_signals,,,
600,,328332.07734549977,4693068.253132859,,,,,
445,,326425.9129171261,4692850.201650991,,,,,
407,,326748.9865275808,4692512.384280118,,traffic_signals,,,
545,,328466.7991790015,4693042.316042901,,,,,
1414,,324600.01340329566,4695654.339981733,,,,,
621,,325355.9232901846,4693194.517230336,,traffic_signals,,,
746,,325930.0858325922,4692771.540017316,,,,,
1349,,325159.2764372255,4695280.414329529,,,,,
1370,,325203.9018321653,4695255.342660504,,,,,
369,,325926.7052640822,4692711.823757307,,,,,
1410,,324761.69145711,4695605.062506732,,,,,
277,,326718.4718027795,4692488.6397994915,,,,,
584,,328483.7728565836,4693119.676695937,,,,,
601,,327637.25626170204,4693067.47941934,,,,,
518,,325876.8155639063,4692883.721613893,,,,,
