link_id,name,from_node_id,to_node_id,directed,geometry,geometry_id,parent_link_id,dir_flag,length,capacity,free_speed,lanes,bike_facility,ped_facility,parking,allowed_uses,facility_type,grade,notes
71102,Ames sidewalk,701,711,FALSE,"LINESTRING(-71.08801 42.36264,-71.0876685 42.363425)",,711,0,,,,,,,,WALK,Sidewalk,,Ames between Main and Broadway NB SIDEWALK (before bus stop island)
71103,Ames sidewalk,711,1104,FALSE,"LINESTRING(-71.0876685 42.363425,-71.087329 42.363787)",,711,0,,,,,,,,WALK,Sidewalk,,Ames between Main and Broadway NB SIDEWALK (after bus stop island)
11702,Ames sidewalk,1105,702,FALSE,"LINESTRING(-71.087665 42.363938,-71.088395 42.362683)",,117,0,,,,,,,,WALK,Sidewalk,,Ames between Main and Broadway SB SIDEWALK
11221,Broadway sidewalk,1104,1101,FALSE,"LINESTRING(-71.087329 42.363787,-71.085966 42.363251)",,1122,0,,,,,,,,WALK,Sidewalk,,Eastbound approaching Third SIDEWALK (west half)
11222,Broadway sidewalk,1101,2202,FALSE,"LINESTRING(-71.085966 42.363251,-71.084580 42.362604)",,1122,0,,,,,,,,WALK,Sidewalk,,Eastbound approaching Third SIDEWALK (east half)
22111,Broadway sidewalk,2201,2211,FALSE,"LINESTRING(-71.084404 42.362856,-71.085826 42.363431)",,2211,0,,,,,,,,WALK,Sidewalk,,Westbound approaching Ames SIDEWALK (east half)
22112,Broadway sidewalk,2211,1102,FALSE,"LINESTRING(-71.085826 42.363431,-71.087165 42.364)",,2211,0,,,,,,,,WALK,Sidewalk,,Westbound approaching Ames SIDEWALK (west half)
11171,Loughery Walkway,1102,1701,FALSE,"LINESTRING(-71.087165 42.364,-71.0862145 42.3653651,-71.086029 42.366009)",,1117,0,,,,,,,,WALK,Sidewalk,,Bike/ped path west of Volpe NB SIDEWALK
11001,,1102,1104,FALSE,"LINESTRING(-71.087165 42.364,-71.087329 42.363787)",,,0,,,,,,,,WALK,Crosswalk,,
11002,,1103,1105,FALSE,"LINESTRING(-71.087488 42.364142,-71.087665 42.363938)",,,0,,,,,,,,WALK,Crosswalk,,
11003,,1104,1105,FALSE,"LINESTRING(-71.087329 42.363787,-71.087665 42.363938)",,,0,,,,,,,,WALK,Crosswalk,,
11004,,1102,1103,FALSE,"LINESTRING(-71.087165 42.364,-71.087488 42.364142)",,,0,,,,,,,,WALK,Crosswalk,,"crosswalk across bikepath (basically a sidewalk, but it is signalized)"
11005,,711,12231,FALSE,"LINESTRING(-71.087744 42.363478,-71.087704 42.363498)",,,0,,,,,,,,WALK,Crosswalk,,crosswalk to bus stop island
11221,,1101,2211,FALSE,"LINESTRING(-71.085966 42.363251,-71.085826 42.363431)",,,0,,,,,,,,WALK,Crosswalk,,midblock crosswalk (near Volpe entrance)
70102,,701,702,FALSE,"LINESTRING(-71.08801 42.36264,-71.088395 42.362683)",,,,,,,,,,,WALK,Crosswalk,,
70203,,702,703,FALSE,"LINESTRING(-71.088395 42.362683,-71.088335 42.362495)",,,,,,,,,,,WALK,Crosswalk,,
70204,,703,704,FALSE,"LINESTRING(-71.088335 42.362495,-71.088033 42.36246)",,,,,,,,,,,WALK,Crosswalk,,
70104,,701,704,FALSE,"LINESTRING(-71.0880101 42.36264107,-71.088033 42.36246)",,,,,,,,,,,WALK,Crosswalk,,
72101,,701,771,FALSE,"LINESTRING(-71.0880101 42.36264107,-71.086100 42.362494)",,,,,,,,,,,WALK,Sidewalk,,
72103,,771,2101,FALSE,"LINESTRING(-71.086100 42.362494,-71.085115 42.362435)",,,,,,,,,,,WALK,Sidewalk,,
72102,,704,772,FALSE,"LINESTRING(-71.088033 42.36246,-71.086123 42.362327)",,,,,,,,,,,WALK,Sidewalk,,
72104,,772,2102,FALSE,"LINESTRING(-71.086123 42.362327,-71.085116 42.36226)",,,,,,,,,,,WALK,Sidewalk,,
21252,,2102,2502,FALSE,"LINESTRING(-71.085116 42.36226,-71.084113 42.362127,-71.083814 42.362205)",,,,,,,,,,,WALK,Sidewalk,,
25282,,2502,2802,FALSE,"LINESTRING(-71.083814 42.362205,-71.083535 42.362085,-71.082794 42.361942)",,,,,,,,,,,WALK,Sidewalk,,
21221,,2101,2202,FALSE,"LINESTRING(-71.085115 42.362435,-71.084771 42.362435,-71.08458003 42.36260445)",,,,,,,,,,,WALK,Sidewalk,,
22221,,2201,2202,FALSE,"LINESTRING(-71.084404 42.362856,-71.08458003 42.36260445)",,,,,,,,,,,WALK,Crosswalk,,
22222,,2202,2203,FALSE,"LINESTRING(-71.08458003 42.36260445,-71.084369 42.362476)",,,,,,,,,,,WALK,Crosswalk,,
22223,,2203,2204,FALSE,"LINESTRING(-71.084369 42.362476,-71.0840678 42.362731)",,,,,,,,,,,WALK,Crosswalk,,
22224,,2201,2204,FALSE,"LINESTRING(-71.084404 42.362856,-71.0840678 42.362731)",,,,,,,,,,,WALK,Crosswalk,,
22251,,2203,2501,FALSE,"LINESTRING(-71.084369 42.362476,-71.083925 42.362269)",,,,,,,,,,,WALK,Sidewalk,,
25251,,2501,2502,FALSE,"LINESTRING(-71.083925 42.362269,-71.083814 42.362205)",,,,,,,,,,,WALK,Crosswalk,,
22271,,2204,2701,FALSE,"LINESTRING(-71.0840678 42.362731,-71.083645 42.362377,-71.083018 42.362254)",,,,,,,,,,,WALK,Sidewalk,,
11771,,1101,771,FALSE,"LINESTRING(-71.085966 42.363251,-71.085864 42.362851,-71.0861 42.362494)",,,,,,,,,,,WALK,Walkway,,Thru the Marriott
77102,,771,772,FALSE,"LINESTRING(-71.0861 42.362494,-71.086123 42.362327)",,,,,,,,,,,WALK,Crosswalk,,
