road_link_id,name,from_node_id,to_node_id,link_geom_id,dir_flag,capacity,free_speed,lanes,bike_facility,ped_facility,parking,allowed_uses,facility_type,grade,from_node,to_node,length,LinkType,Desc
42 100102,"",,,116,1,1800,25,1,,,,,HOT,,42,100102,438,6,HOT
43 101927,"",,,117,1,1800,25,1,,,,,HOT,,43,101927,1461,6,HOT
43 101934,"",,,118,1,1800,25,1,,,,,HOT,,43,101934,1885,6,HOT
44 100183,"",,,119,1,1800,25,1,,,,,HOT,,44,100183,817,6,HOT
44 100185,"",,,120,1,1800,25,1,,,,,HOT,,44,100185,832,6,HOT
45 100125,"",,,121,1,1800,25,1,,,,,HOT,,45,100125,2512,6,HOT
45 100166,"",,,122,1,1800,25,1,,,,,HOT,,45,100166,2516,6,HOT
45 100182,"",,,123,1,1800,25,1,,,,,HOT,,45,100182,3560,6,HOT
46 100125,"",,,124,1,1800,25,1,,,,,HOT,,46,100125,3462,6,HOT
47 100126,"",,,125,1,1800,25,1,,,,,HOT,,47,100126,2871,6,HOT
47 100568,"",,,126,1,1800,25,1,,,,,HOT,,47,100568,1907,6,HOT
48 100198,"",,,127,1,1800,25,1,,,,,HOT,,48,100198,1938,6,HOT
49 100196,"",,,128,1,1800,25,1,,,,,HOT,,49,100196,1411,6,HOT
50 100194,"",,,129,1,1800,25,1,,,,,HOT,,50,100194,1059,6,HOT
51 100155,"",,,130,1,1800,25,1,,,,,HOT,,51,100155,1414,6,HOT
52 100128,"",,,131,1,1800,25,1,,,,,HOT,,52,100128,2076,6,HOT
52 100152,"",,,132,1,1800,25,1,,,,,HOT,,52,100152,4547,6,HOT
53 100094,"",,,133,1,1800,25,1,,,,,HOT,,53,100094,655,6,HOT
53 100095,"",,,134,1,1800,25,1,,,,,HOT,,53,100095,461,6,HOT
54 100089,"",,,135,1,1800,25,1,,,,,HOT,,54,100089,335,6,HOT
54 101957,"",,,136,1,1800,25,1,,,,,HOT,,54,101957,148,6,HOT
55 100087,"",,,137,1,1800,25,1,,,,,HOT,,55,100087,969,6,HOT
55 100099,"",,,138,1,1800,25,1,,,,,HOT,,55,100099,1135,6,HOT
55 100258,"",,,139,1,1800,25,1,,,,,HOT,,55,100258,1452,6,HOT
56 100084,"",,,140,1,1800,25,1,,,,,HOT,,56,100084,608,6,HOT
57 100103,"",,,141,1,1800,25,1,,,,,HOT,,57,100103,843,6,HOT
57 100106,"",,,142,1,1800,25,1,,,,,HOT,,57,100106,951,6,HOT
58 100104,"",,,143,1,1800,25,1,,,,,HOT,,58,100104,2750,6,HOT
58 100110,"",,,144,1,1800,25,1,,,,,HOT,,58,100110,1563,6,HOT
59 100106,"",,,145,1,1800,25,1,,,,,HOT,,59,100106,608,6,HOT
59 100218,"",,,146,1,1800,25,1,,,,,HOT,,59,100218,289,6,HOT
59 100223,"",,,147,1,1800,25,1,,,,,HOT,,59,100223,1133,6,HOT
60 100085,"",,,148,1,1800,25,1,,,,,HOT,,60,100085,518,6,HOT
61 100110,"",,,149,1,1800,25,1,,,,,HOT,,61,100110,686,6,HOT
62 100599,"",,,150,1,1800,25,1,,,,,HOT,,62,100599,1012,6,HOT
63 100238,"",,,151,1,1800,25,1,,,,,HOT,,63,100238,855,6,HOT
63 100242,"",,,152,1,1800,25,1,,,,,HOT,,63,100242,581,6,HOT
63 100243,"",,,153,1,1800,25,1,,,,,HOT,,63,100243,2004,6,HOT
64 100161,"",,,154,1,1800,25,1,,,,,HOT,,64,100161,2030,6,HOT
65 100117,"",,,155,1,1800,25,1,,,,,HOT,,65,100117,3242,6,HOT
65 100655,"",,,156,1,1800,25,1,,,,,HOT,,65,100655,2569,6,HOT
66 100239,"",,,157,1,1800,25,1,,,,,HOT,,66,100239,106,6,HOT
66 102554,"",,,158,1,1800,25,1,,,,,HOT,,66,102554,421,6,HOT
67 100199,"",,,159,1,1800,25,1,,,,,HOT,,67,100199,771,6,HOT
67 100645,"",,,160,1,1800,25,1,,,,,HOT,,67,100645,539,6,HOT
68 100154,"",,,161,1,1800,25,1,,,,,HOT,,68,100154,1410,6,HOT
68 100652,"",,,162,1,1800,25,1,,,,,HOT,,68,100652,1288,6,HOT
68 100654,"",,,163,1,1800,25,1,,,,,HOT,,68,100654,1426,6,HOT
69 100646,"",,,164,1,1800,25,1,,,,,HOT,,69,100646,840,6,HOT
69 100648,"",,,165,1,1800,25,1,,,,,HOT,,69,100648,2710,6,HOT
70 100663,"",,,166,1,1800,25,1,,,,,HOT,,70,100663,1378,6,HOT
71 100157,"",,,167,1,1800,25,1,,,,,HOT,,71,100157,2741,6,HOT
71 100160,"",,,168,1,1800,25,1,,,,,HOT,,71,100160,2587,6,HOT
72 100657,"",,,169,1,1800,25,1,,,,,HOT,,72,100657,1996,6,HOT
72 100699,"",,,170,1,1800,25,1,,,,,HOT,,72,100699,2678,6,HOT
73 100662,"",,,171,1,1800,25,1,,,,,HOT,,73,100662,6438,6,HOT
73 100665,"",,,172,1,1800,25,1,,,,,HOT,,73,100665,5681,6,HOT
73 103415,"",,,173,1,1800,25,1,,,,,HOT,,73,103415,7277,6,HOT
73 103978,"",,,174,1,1800,25,1,,,,,HOT,,73,103978,1518,6,HOT
74 100057,"",,,175,1,1800,25,1,,,,,HOT,,74,100057,171,6,HOT
74 100062,"",,,176,1,1800,25,1,,,,,HOT,,74,100062,198,6,HOT
75 100060,"",,,177,1,1800,25,1,,,,,HOT,,75,100060,250,6,HOT
75 100061,"",,,178,1,1800,25,1,,,,,HOT,,75,100061,104,6,HOT
76 100070,"",,,179,1,1800,25,1,,,,,HOT,,76,100070,684,6,HOT
76 100072,"",,,180,1,1800,25,1,,,,,HOT,,76,100072,454,6,HOT
76 100073,"",,,181,1,1800,25,1,,,,,HOT,,76,100073,296,6,HOT
76 100080,"",,,182,1,1800,25,1,,,,,HOT,,76,100080,976,6,HOT
77 100206,"",,,183,1,1800,25,1,,,,,HOT,,77,100206,286,6,HOT
77 100575,"",,,184,1,1800,25,1,,,,,HOT,,77,100575,459,6,HOT
77 100580,"",,,185,1,1800,25,1,,,,,HOT,,77,100580,658,6,HOT
78 100205,"",,,186,1,1800,25,1,,,,,HOT,,78,100205,1038,6,HOT
78 100259,"",,,187,1,1800,25,1,,,,,HOT,,78,100259,917,6,HOT
78 100571,"",,,188,1,1800,25,1,,,,,HOT,,78,100571,1097,6,HOT
79 100202,"",,,189,1,1800,25,1,,,,,HOT,,79,100202,855,6,HOT
79 100597,"",,,190,1,1800,25,1,,,,,HOT,,79,100597,1366,6,HOT
80 100201,"",,,191,1,1800,25,1,,,,,HOT,,80,100201,928,6,HOT
80 100256,"",,,192,1,1800,25,1,,,,,HOT,,80,100256,1107,6,HOT
80 100585,"",,,193,1,1800,25,1,,,,,HOT,,80,100585,1320,6,HOT
81 100257,"",,,194,1,1800,25,1,,,,,HOT,,81,100257,1187,6,HOT
81 100604,"",,,195,1,1800,25,1,,,,,HOT,,81,100604,741,6,HOT
81 100675,"",,,196,1,1800,25,1,,,,,HOT,,81,100675,1646,6,HOT
82 100610,"",,,197,1,1800,25,1,,,,,HOT,,82,100610,868,6,HOT
82 100613,"",,,198,1,1800,25,1,,,,,HOT,,82,100613,1403,6,HOT
82 100675,"",,,199,1,1800,25,1,,,,,HOT,,82,100675,1037,6,HOT
83 100603,"",,,200,1,1800,25,1,,,,,HOT,,83,100603,569,6,HOT
84 100615,"",,,201,1,1800,25,1,,,,,HOT,,84,100615,613,6,HOT
85 100619,"",,,202,1,1800,25,1,,,,,HOT,,85,100619,2516,6,HOT
85 100621,"",,,203,1,1800,25,1,,,,,HOT,,85,100621,2555,6,HOT
86 100620,"",,,204,1,1800,25,1,,,,,HOT,,86,100620,3191,6,HOT
86 100673,"",,,205,1,1800,25,1,,,,,HOT,,86,100673,2168,6,HOT
87 100639,"",,,206,1,1800,25,1,,,,,HOT,,87,100639,2643,6,HOT
87 100672,"",,,207,1,1800,25,1,,,,,HOT,,87,100672,1862,6,HOT
88 100638,"",,,208,1,1800,25,1,,,,,HOT,,88,100638,2690,6,HOT
88 100666,"",,,209,1,1800,25,1,,,,,HOT,,88,100666,2611,6,HOT
89 100627,"",,,210,1,1800,25,1,,,,,HOT,,89,100627,2030,6,HOT
89 100630,"",,,211,1,1800,25,1,,,,,HOT,,89,100630,2021,6,HOT
90 100644,"",,,212,1,1800,25,1,,,,,HOT,,90,100644,617,6,HOT
91 100670,"",,,213,1,1800,25,1,,,,,HOT,,91,100670,2973,6,HOT
91 103983,"",,,214,1,1800,25,1,,,,,HOT,,91,103983,1762,6,HOT
92 100055,"",,,215,1,1800,25,1,,,,,HOT,,92,100055,233,6,HOT
92 100062,"",,,216,1,1800,25,1,,,,,HOT,,92,100062,319,6,HOT
92 100063,"",,,217,1,1800,25,1,,,,,HOT,,92,100063,179,6,HOT
93 100073,"",,,218,1,1800,25,1,,,,,HOT,,93,100073,293,6,HOT
93 100074,"",,,219,1,1800,25,1,,,,,HOT,,93,100074,173,6,HOT
94 100074,"",,,220,1,1800,25,1,,,,,HOT,,94,100074,1116,6,HOT
94 100075,"",,,221,1,1800,25,1,,,,,HOT,,94,100075,760,6,HOT
94 101839,"",,,222,1,1800,25,1,,,,,HOT,,94,101839,618,6,HOT
94 101840,"",,,223,1,1800,25,1,,,,,HOT,,94,101840,859,6,HOT
95 100570,"",,,224,1,1800,25,1,,,,,HOT,,95,100570,471,6,HOT
95 101836,"",,,225,1,1800,25,1,,,,,HOT,,95,101836,1120,6,HOT
96 100573,"",,,226,1,1800,25,1,,,,,HOT,,96,100573,273,6,HOT
96 101839,"",,,227,1,1800,25,1,,,,,HOT,,96,101839,1150,6,HOT
97 100078,"",,,228,1,1800,25,1,,,,,HOT,,97,100078,753,6,HOT
97 100574,"",,,229,1,1800,25,1,,,,,HOT,,97,100574,256,6,HOT
97 100575,"",,,230,1,1800,25,1,,,,,HOT,,97,100575,215,6,HOT
97 100578,"",,,231,1,1800,25,1,,,,,HOT,,97,100578,674,6,HOT
98 100586,"",,,232,1,1800,25,1,,,,,HOT,,98,100586,1311,6,HOT
98 100587,"",,,233,1,1800,25,1,,,,,HOT,,98,100587,2290,6,HOT
98 100590,"",,,234,1,1800,25,1,,,,,HOT,,98,100590,785,6,HOT
99 100562,"",,,235,1,1800,25,1,,,,,HOT,,99,100562,1170,6,HOT
99 100605,"",,,236,1,1800,25,1,,,,,HOT,,99,100605,840,6,HOT
99 100607,"",,,237,1,1800,25,1,,,,,HOT,,99,100607,442,6,HOT
100 100263,"",,,238,1,1800,25,1,,,,,HOT,,100,100263,2389,6,HOT
100 100497,"",,,239,1,1800,25,1,,,,,HOT,,100,100497,2987,6,HOT
101 100556,"",,,240,1,1800,25,1,,,,,HOT,,101,100556,1211,6,HOT
101 100558,"",,,241,1,1800,25,1,,,,,HOT,,101,100558,1179,6,HOT
102 100543,"",,,242,1,1800,25,1,,,,,HOT,,102,100543,440,6,HOT
102 100545,"",,,243,1,1800,25,1,,,,,HOT,,102,100545,1358,6,HOT
103 100553,"",,,244,1,1800,25,1,,,,,HOT,,103,100553,2641,6,HOT
103 100560,"",,,245,1,1800,25,1,,,,,HOT,,103,100560,2740,6,HOT
104 100552,"",,,246,1,1800,25,1,,,,,HOT,,104,100552,811,6,HOT
105 100526,"",,,247,1,1800,25,1,,,,,HOT,,105,100526,3949,6,HOT
105 100535,"",,,248,1,1800,25,1,,,,,HOT,,105,100535,4035,6,HOT
105 100541,"",,,249,1,1800,25,1,,,,,HOT,,105,100541,4033,6,HOT
106 100540,"",,,250,1,1800,25,1,,,,,HOT,,106,100540,2431,6,HOT
106 100541,"",,,251,1,1800,25,1,,,,,HOT,,106,100541,2387,6,HOT
106 100546,"",,,252,1,1800,25,1,,,,,HOT,,106,100546,3931,6,HOT
107 100550,"",,,253,1,1800,25,1,,,,,HOT,,107,100550,7966,6,HOT
107 100624,"",,,254,1,1800,25,1,,,,,HOT,,107,100624,3981,6,HOT
108 101854,"",,,255,1,1800,25,1,,,,,HOT,,108,101854,258,6,HOT
108 101858,"",,,256,1,1800,25,1,,,,,HOT,,108,101858,248,6,HOT
109 100027,"",,,257,1,1800,25,1,,,,,HOT,,109,100027,228,6,HOT
109 100038,"",,,258,1,1800,25,1,,,,,HOT,,109,100038,230,6,HOT
109 100039,"",,,259,1,1800,25,1,,,,,HOT,,109,100039,212,6,HOT
109 100041,"",,,260,1,1800,25,1,,,,,HOT,,109,100041,257,6,HOT
110 100064,"",,,261,1,1800,25,1,,,,,HOT,,110,100064,521,6,HOT
110 100192,"",,,262,1,1800,25,1,,,,,HOT,,110,100192,549,6,HOT
110 100255,"",,,263,1,1800,25,1,,,,,HOT,,110,100255,387,6,HOT
110 101842,"",,,264,1,1800,25,1,,,,,HOT,,110,101842,595,6,HOT
111 100178,"",,,265,1,1800,25,1,,,,,HOT,,111,100178,841,6,HOT
111 100179,"",,,266,1,1800,25,1,,,,,HOT,,111,100179,769,6,HOT
111 101843,"",,,267,1,1800,25,1,,,,,HOT,,111,101843,750,6,HOT
111 101846,"",,,268,1,1800,25,1,,,,,HOT,,111,101846,587,6,HOT
112 101813,"",,,269,1,1800,25,1,,,,,HOT,,112,101813,672,6,HOT
112 101819,"",,,270,1,1800,25,1,,,,,HOT,,112,101819,1360,6,HOT
112 101820,"",,,271,1,1800,25,1,,,,,HOT,,112,101820,1334,6,HOT
112 101822,"",,,272,1,1800,25,1,,,,,HOT,,112,101822,702,6,HOT
113 101816,"",,,273,1,1800,25,1,,,,,HOT,,113,101816,627,6,HOT
113 101817,"",,,274,1,1800,25,1,,,,,HOT,,113,101817,145,6,HOT
113 101827,"",,,275,1,1800,25,1,,,,,HOT,,113,101827,459,6,HOT
114 100188,"",,,276,1,1800,25,1,,,,,HOT,,114,100188,949,6,HOT
114 100189,"",,,277,1,1800,25,1,,,,,HOT,,114,100189,1199,6,HOT
114 100216,"",,,278,1,1800,25,1,,,,,HOT,,114,100216,915,6,HOT
115 100187,"",,,279,1,1800,25,1,,,,,HOT,,115,100187,944,6,HOT
115 100217,"",,,280,1,1800,25,1,,,,,HOT,,115,100217,1355,6,HOT
115 101829,"",,,281,1,1800,25,1,,,,,HOT,,115,101829,2249,6,HOT
115 101832,"",,,282,1,1800,25,1,,,,,HOT,,115,101832,1313,6,HOT
116 101832,"",,,283,1,1800,25,1,,,,,HOT,,116,101832,817,6,HOT
116 101837,"",,,284,1,1800,25,1,,,,,HOT,,116,101837,2320,6,HOT
117 100740,"",,,285,1,1800,25,1,,,,,HOT,,117,100740,505,6,HOT
118 100741,"",,,286,1,1800,25,1,,,,,HOT,,118,100741,1163,6,HOT
118 101829,"",,,287,1,1800,25,1,,,,,HOT,,118,101829,2581,6,HOT
118 104446,"",,,288,1,1800,25,1,,,,,HOT,,118,104446,2378,6,HOT
119 100193,"",,,289,1,1800,25,1,,,,,HOT,,119,100193,2076,6,HOT
119 100498,"",,,290,1,1800,25,1,,,,,HOT,,119,100498,719,6,HOT
120 100563,"",,,291,1,1800,25,1,,,,,HOT,,120,100563,1702,6,HOT
120 100565,"",,,292,1,1800,25,1,,,,,HOT,,120,100565,1313,6,HOT
120 104447,"",,,293,1,1800,25,1,,,,,HOT,,120,104447,1845,6,HOT
121 100499,"",,,294,1,1800,25,1,,,,,HOT,,121,100499,3029,6,HOT
121 100671,"",,,295,1,1800,25,1,,,,,HOT,,121,100671,1403,6,HOT
122 100507,"",,,296,1,1800,25,1,,,,,HOT,,122,100507,1471,6,HOT
123 100308,"",,,297,1,1800,25,1,,,,,HOT,,123,100308,647,6,HOT
123 100494,"",,,298,1,1800,25,1,,,,,HOT,,123,100494,2810,6,HOT
123 100526,"",,,299,1,1800,25,1,,,,,HOT,,123,100526,2026,6,HOT
124 100502,"",,,300,1,1800,25,1,,,,,HOT,,124,100502,3484,6,HOT
124 100510,"",,,301,1,1800,25,1,,,,,HOT,,124,100510,2670,6,HOT
124 100511,"",,,302,1,1800,25,1,,,,,HOT,,124,100511,2534,6,HOT
124 100514,"",,,303,1,1800,25,1,,,,,HOT,,124,100514,4158,6,HOT
125 100504,"",,,304,1,1800,25,1,,,,,HOT,,125,100504,4124,6,HOT
125 100508,"",,,305,1,1800,25,1,,,,,HOT,,125,100508,2730,6,HOT
125 100509,"",,,306,1,1800,25,1,,,,,HOT,,125,100509,2550,6,HOT
125 100517,"",,,307,1,1800,25,1,,,,,HOT,,125,100517,4156,6,HOT
126 100309,"",,,308,1,1800,25,1,,,,,HOT,,126,100309,1914,6,HOT
126 100495,"",,,309,1,1800,25,1,,,,,HOT,,126,100495,1918,6,HOT
126 100496,"",,,310,1,1800,25,1,,,,,HOT,,126,100496,1836,6,HOT
127 100515,"",,,311,1,1800,25,1,,,,,HOT,,127,100515,1408,6,HOT
128 100527,"",,,312,1,1800,25,1,,,,,HOT,,128,100527,3032,6,HOT
128 100529,"",,,313,1,1800,25,1,,,,,HOT,,128,100529,2871,6,HOT
128 100531,"",,,314,1,1800,25,1,,,,,HOT,,128,100531,4117,6,HOT
129 100528,"",,,315,1,1800,25,1,,,,,HOT,,129,100528,918,6,HOT
129 100534,"",,,316,1,1800,25,1,,,,,HOT,,129,100534,800,6,HOT
130 101889,"",,,317,1,1800,25,1,,,,,HOT,,130,101889,930,6,HOT
130 101891,"",,,318,1,1800,25,1,,,,,HOT,,130,101891,910,6,HOT
130 101894,"",,,319,1,1800,25,1,,,,,HOT,,130,101894,659,6,HOT
131 101891,"",,,320,1,1800,25,1,,,,,HOT,,131,101891,797,6,HOT
131 101892,"",,,321,1,1800,25,1,,,,,HOT,,131,101892,1031,6,HOT
131 101985,"",,,322,1,1800,25,1,,,,,HOT,,131,101985,720,6,HOT
131 102015,"",,,323,1,1800,25,1,,,,,HOT,,131,102015,393,6,HOT
132 100254,"",,,324,1,1800,25,1,,,,,HOT,,132,100254,106,6,HOT
132 101960,"",,,325,1,1800,25,1,,,,,HOT,,132,101960,175,6,HOT
