link_geometry_id,name,facility_type,grade,geometry,length,row_width,jurisdiction
239,"",HOT,0,"LINESTRING(1518308 993869,1515371.363 993317.367)",2987,,
240,"",HOT,0,"LINESTRING(1511720 988604,1510509 988592)",1211,,
241,"",HOT,0,"LINESTRING(1511720 988604,1511699 989783)",1179,,
242,"",HOT,0,"LINESTRING(1509143 983200,1509123 982760)",440,,
243,"",HOT,0,"LINESTRING(1509143 983200,1510501.416 983183.875)",1358,,
244,"",HOT,0,"LINESTRING(1517101 987986,1517103 985345)",2641,,
245,"",HOT,0,"LINESTRING(1517101 987986,1516748.155 990703.938)",2740,,
246,"",HOT,0,"LINESTRING(1519133 986857,1518322 986867)",811,,
247,"",HOT,0,"LINESTRING(1506435 978807,1506545.683 982755.25)",3949,,
248,"",HOT,0,"LINESTRING(1506435 978807,1506440.87 974771.125)",4035,,
249,"",HOT,0,"LINESTRING(1506435 978807,1510468.019 978797.75)",4033,,
250,"",HOT,0,"LINESTRING(1512856 978801,1515287 978803)",2431,,
251,"",HOT,0,"LINESTRING(1512856 978801,1510468.019 978797.75)",2387,,
252,"",HOT,0,"LINESTRING(1512856 978801,1512944 982732)",3931,,
253,"",HOT,0,"LINESTRING(1518350 974704,1519095 982636)",7966,,
254,"",HOT,0,"LINESTRING(1518350 974704,1522331 974656)",3981,,
255,"",HOT,0,"LINESTRING(1520493 1001822,1520512.343 1001564.571)",258,,
256,"",HOT,0,"LINESTRING(1520493 1001822,1520513.479 1002069.335)",248,,
257,"",HOT,0,"LINESTRING(1522624 1001774,1522645.373 1002001.764)",228,,
258,"",HOT,0,"LINESTRING(1522624 1001774,1522854 1001754)",230,,
259,"",HOT,0,"LINESTRING(1522624 1001774,1522411.434 1001766.444)",212,,
260,"",HOT,0,"LINESTRING(1522624 1001774,1522603.035 1001517.234)",257,,
261,"",HOT,0,"LINESTRING(1521875 1000633,1522396.801 1000625.066)",521,,
262,"",HOT,0,"LINESTRING(1521875 1000633,1522110.254 1000135.979)",549,,
263,"",HOT,0,"LINESTRING(1521875 1000633,1522100 1000948)",387,,
264,"",HOT,0,"LINESTRING(1521875 1000633,1521279.811 1000644.577)",595,,
265,"",HOT,0,"LINESTRING(1520444 1000482,1521279.811 1000581.167)",841,,
266,"",HOT,0,"LINESTRING(1520444 1000482,1520431.351 999712.938)",769,,
267,"",HOT,0,"LINESTRING(1520444 1000482,1519694 1000492)",750,,
268,"",HOT,0,"LINESTRING(1520444 1000482,1520460.36 1001068.936)",587,,
269,"",HOT,0,"LINESTRING(1513412 1001708,1513827.56 1002236.353)",672,,
270,"",HOT,0,"LINESTRING(1513412 1001708,1514771.886 1001738.953)",1360,,
271,"",HOT,0,"LINESTRING(1513412 1001708,1512082.656 1001820.26)",1334,,
272,"",HOT,0,"LINESTRING(1513412 1001708,1512998.637 1001140.083)",702,,
273,"",HOT,0,"LINESTRING(1516817 1001525,1516765.268 1002149.878)",627,,
274,"",HOT,0,"LINESTRING(1516817 1001525,1516729.835 1001641.57)",145,,
275,"",HOT,0,"LINESTRING(1516817 1001525,1516740.54 1001071.723)",459,,
276,"",HOT,0,"LINESTRING(1517404 999920,1517412 1000869)",949,,
277,"",HOT,0,"LINESTRING(1517404 999920,1518187 1000829)",1199,,
278,"",HOT,0,"LINESTRING(1517404 999920,1516489 999921)",915,,
279,"",HOT,0,"LINESTRING(1514293 999968,1514761 1000788)",944,,
280,"",HOT,0,"LINESTRING(1514293 999968,1515648 999952)",1355,,
281,"",HOT,0,"LINESTRING(1514293 999968,1512043.071 999956.375)",2249,,
282,"",HOT,0,"LINESTRING(1514293 999968,1514286.769 998654.875)",1313,,
283,"",HOT,0,"LINESTRING(1514264 997838,1514286.769 998654.875)",817,,
284,"",HOT,0,"LINESTRING(1514264 997838,1511944.727 997772.062)",2320,,
285,"",HOT,0,"LINESTRING(1508281 1000714,1508272.811 1001219.11)",505,,
286,"",HOT,0,"LINESTRING(1509462 1000025,1509535.195 1001186.416)",1163,,
287,"",HOT,0,"LINESTRING(1509462 1000025,1512043.071 999956.375)",2581,,
288,"",HOT,0,"LINESTRING(1509462 1000025,1507084.155 999960.306)",2378,,
289,"",HOT,0,"LINESTRING(1512160.82 994008.525,1511484 995972)",2076,,
290,"",HOT,0,"LINESTRING(1512160.82 994008.525,1512250.002 993295.071)",719,,
291,"",HOT,0,"LINESTRING(1508885 994663,1510581.058 994813.813)",1702,,
292,"",HOT,0,"LINESTRING(1508885 994663,1508745.998 995968.938)",1313,,
293,"",HOT,0,"LINESTRING(1508885 994663,1507167.1 995336.091)",1845,,
294,"",HOT,0,"LINESTRING(1506743.03 990864.869,1503896 989828)",3029,,
295,"",HOT,0,"LINESTRING(1506743.03 990864.869,1507198.89 989537.562)",1403,,
