"Physical_Link_ID","Name","A_Node","B_Node","AB_Link","BA_Link","Grade","Geometry","Length","ROWWidth","Jurisdiction"
132,NA,52,100152,"52 100152","100152 52",0,"LINESTRING(1543746 1005428,1543857.34 1009974.247)",4547,NA,NA
133,NA,53,100094,"53 100094","100094 53",0,"LINESTRING(1525964 1002456,1525308.886 1002474.781)",655,NA,NA
134,NA,53,100095,"53 100095","100095 53",0,"LINESTRING(1525964 1002456,1525947.755 1002917.578)",461,NA,NA
135,NA,54,100089,"54 100089","100089 54",0,"LINESTRING(1524945 1001756,1525279.708 1001733.626)",335,NA,NA
136,NA,54,101957,"54 101957","101957 54",0,"LINESTRING(1524945 1001756,1525011.57 1001888.864)",148,NA,NA
137,NA,55,100087,"55 100087","100087 55",0,"LINESTRING(1526576 1000136,1526582.342 1001105.549)",969,NA,NA
138,NA,55,100099,"55 100099","100099 55",0,"LINESTRING(1526576 1000136,1525440.822 1000115.921)",1135,NA,NA
139,NA,55,100258,"55 100258","100258 55",0,"LINESTRING(1526576 1000136,1526983.22 998741.375)",1452,NA,NA
140,NA,56,100084,"56 100084","100084 56",0,"LINESTRING(1527987 999027,1527768.576 998459.375)",608,NA,NA
141,NA,57,100103,"57 100103","100103 57",0,"LINESTRING(1529216 1002028,1529268.322 1002870.032)",843,NA,NA
142,NA,57,100106,"57 100106","100106 57",0,"LINESTRING(1529216 1002028,1529205.521 1001076.858)",951,NA,NA
143,NA,58,100104,"58 100104","100104 58",0,"LINESTRING(1530866 999978,1530986.15 1002725.86)",2750,NA,NA
144,NA,58,100110,"58 100110","100110 58",0,"LINESTRING(1530866 999978,1530911.053 998414.813)",1563,NA,NA
145,NA,59,100106,"59 100106","100106 59",0,"LINESTRING(1528828 1000599,1529205.521 1001076.858)",608,NA,NA
146,NA,59,100218,"59 100218","100218 59",0,"LINESTRING(1528828 1000599,1528549 1000521)",289,NA,NA
147,NA,59,100223,"59 100223","100223 59",0,"LINESTRING(1528828 1000599,1529632 999800)",1133,NA,NA
148,NA,60,100085,"60 100085","100085 60",0,"LINESTRING(1529628 997957,1529792.09 998449)",518,NA,NA
149,NA,61,100110,"61 100110","100110 61",0,"LINESTRING(1530919 997728,1530911.053 998414.813)",686,NA,NA
150,NA,62,100599,"62 100599","100599 62",0,"LINESTRING(1530110 994476,1530118.445 993463.187)",1012,NA,NA
151,NA,63,100238,"63 100238","100238 63",0,"LINESTRING(1534967 998908,1534135.817 998704.938)",855,NA,NA
152,NA,63,100242,"63 100242","100242 63",0,"LINESTRING(1534967 998908,1535495.441 998665.625)",581,NA,NA
153,NA,63,100243,"63 100243","100243 63",0,"LINESTRING(1534967 998908,1532967 998780)",2004,NA,NA
154,NA,64,100161,"64 100161","100161 64",0,"LINESTRING(1545740 1001048,1543779.963 1000516.199)",2030,NA,NA
155,NA,65,100117,"65 100117","100117 65",0,"LINESTRING(1544813 995175,1544673.363 998414.5)",3242,NA,NA
156,NA,65,100655,"65 100655","100655 65",0,"LINESTRING(1544813 995175,1544842.607 992605.813)",2569,NA,NA
157,NA,66,100239,"66 100239","100239 66",0,"LINESTRING(1534063.084 998195.062,1534135.817 998272.312)",106,NA,NA
158,NA,66,102554,"66 102554","102554 66",0,"LINESTRING(1534063.084 998195.062,1533709.9 997965.125)",421,NA,NA
159,NA,67,100199,"67 100199","100199 67",0,"LINESTRING(1532629 996816,1533102.459 997425.687)",771,NA,NA
160,NA,67,100645,"67 100645","100645 67",0,"LINESTRING(1532629 996816,1533057.35 997143.313)",539,NA,NA
161,NA,68,100154,"68 100154","100154 68",0,"LINESTRING(1536999 997172,1537639.448 998429.25)",1410,NA,NA
162,NA,68,100652,"68 100652","100652 68",0,"LINESTRING(1536999 997172,1537033.299 995883.75)",1288,NA,NA
163,NA,68,100654,"68 100654","100654 68",0,"LINESTRING(1536999 997172,1538346.989 997638.25)",1426,NA,NA
164,NA,69,100646,"69 100646","100646 69",0,"LINESTRING(1533814 990698,1532974 990717)",840,NA,NA
165,NA,69,100648,"69 100648","100648 69",0,"LINESTRING(1533814 990698,1533899.849 993406.875)",2710,NA,NA
166,NA,70,100663,"70 100663","100663 70",0,"LINESTRING(1544886 989303,1544854.649 987925.25)",1378,NA,NA
167,NA,71,100157,"71 100157","100157 71",0,"LINESTRING(1551650 1002132,1554381.104 1001890.772)",2741,NA,NA
168,NA,71,100160,"71 100160","100160 71",0,"LINESTRING(1551650 1002132,1549114.283 1002645.088)",2587,NA,NA
169,NA,72,100657,"72 100657","100657 72",0,"LINESTRING(1550957.567 993231.938,1548962.984 993154.125)",1996,NA,NA
170,NA,72,100699,"72 100699","100699 72",0,"LINESTRING(1550957.567 993231.938,1553625 992985)",2678,NA,NA
171,NA,73,100662,"73 100662","100662 73",0,"LINESTRING(1549142 981383,1548888 987816)",6438,NA,NA
172,NA,73,100665,"73 100665","100665 73",0,"LINESTRING(1549142 981383,1543461 981291)",5681,NA,NA
173,NA,73,103415,"73 103415","103415 73",0,"LINESTRING(1549142 981383,1555450.145 985011.5)",7277,NA,NA
174,NA,73,103978,"73 103978","103978 73",0,"LINESTRING(1549142 981383,1548717.419 979925.313)",1518,NA,NA
175,NA,74,100057,"74 100057","100057 74",0,"LINESTRING(1523795 1000815,1523807.302 1000985.663)",171,NA,NA
176,NA,74,100062,"74 100062","100062 74",0,"LINESTRING(1523795 1000815,1523604.01 1000761.589)",198,NA,NA
177,NA,75,100060,"75 100060","100060 75",0,"LINESTRING(1524505 1000835,1524701.253 1000990.863)",250,NA,NA
178,NA,75,100061,"75 100061","100061 75",0,"LINESTRING(1524505 1000835,1524400.879 1000837.602)",104,NA,NA
179,NA,76,100070,"76 100070","100070 76",0,"LINESTRING(1523896 999420,1523986.926 1000098.277)",684,NA,NA
180,NA,76,100072,"76 100072","100072 76",0,"LINESTRING(1523896 999420,1524350.674 999417.688)",454,NA,NA
181,NA,76,100073,"76 100073","100073 76",0,"LINESTRING(1523896 999420,1523599.023 999417.688)",296,NA,NA
182,NA,76,100080,"76 100080","100080 76",0,"LINESTRING(1523896 999420,1524017.925 998450.875)",976,NA,NA
183,NA,77,100206,"77 100206","100206 77",0,"LINESTRING(1524016 997682,1524296.985 997739.875)",286,NA,NA
184,NA,77,100575,"77 100575","100575 77",0,"LINESTRING(1524016 997682,1523557.312 997704.5)",459,NA,NA
185,NA,77,100580,"77 100580","100580 77",0,"LINESTRING(1524016 997682,1524048.073 997023.938)",658,NA,NA
186,NA,78,100205,"78 100205","100205 78",0,"LINESTRING(1526554 997415,1525569 997743)",1038,NA,NA
187,NA,78,100259,"78 100259","100259 78",0,"LINESTRING(1526554 997415,1526983.22 998226.25)",917,NA,NA
188,NA,78,100571,"78 100571","100571 78",0,"LINESTRING(1526554 997415,1525532 997016)",1097,NA,NA
189,NA,79,100202,"79 100202","100202 79",0,"LINESTRING(1527270 994835,1526415.594 994798.375)",855,NA,NA
190,NA,79,100597,"79 100597","100597 79",0,"LINESTRING(1527270 994835,1527250.887 993468.813)",1366,NA,NA
191,NA,80,100201,"80 100201","100201 80",0,"LINESTRING(1524669 994923,1525589.57 994798.375)",928,NA,NA
192,NA,80,100256,"80 100256","100256 80",0,"LINESTRING(1524669 994923,1524656 993816)",1107,NA,NA
193,NA,80,100585,"80 100585","100585 80",0,"LINESTRING(1524669 994923,1523506.968 995549.813)",1320,NA,NA
194,NA,81,100257,"81 100257","100257 81",0,"LINESTRING(1524121 992095,1524656 993155)",1187,NA,NA
195,NA,81,100604,"81 100604","100604 81",0,"LINESTRING(1524121 992095,1523380.122 992111.875)",741,NA,NA
196,NA,81,100675,"81 100675","100675 81",0,"LINESTRING(1524121 992095,1523686 990507)",1646,NA,NA
197,NA,82,100610,"82 100610","100610 82",0,"LINESTRING(1524230.643 989624.25,1523362 989600)",868,NA,NA
198,NA,82,100613,"82 100613","100613 82",0,"LINESTRING(1524230.643 989624.25,1524229.031 988220.375)",1403,NA,NA
199,NA,82,100675,"82 100675","100675 82",0,"LINESTRING(1524230.643 989624.25,1523686 990507)",1037,NA,NA
200,NA,83,100603,"83 100603","100603 83",0,"LINESTRING(1526921 990858,1527489.4 990826.938)",569,NA,NA
201,NA,84,100615,"84 100615","100615 84",0,"LINESTRING(1529873 988602,1530273.441 988137.188)",613,NA,NA
202,NA,85,100619,"85 100619","100619 85",0,"LINESTRING(1524997 982880,1527513.232 982840.5)",2516,NA,NA
203,NA,85,100621,"85 100621","100621 85",0,"LINESTRING(1524997 982880,1522442.055 982901.875)",2555,NA,NA
204,NA,86,100620,"86 100620","100620 86",0,"LINESTRING(1530660 979992,1527469 980041)",3191,NA,NA
205,NA,86,100673,"86 100673","100673 86",0,"LINESTRING(1530660 979992,1532828 979930)",2168,NA,NA
206,NA,87,100639,"87 100639","100639 87",0,"LINESTRING(1535529 982777,1538172.162 982719.938)",2643,NA,NA
207,NA,87,100672,"87 100672","100672 87",0,"LINESTRING(1535529 982777,1533667 982717)",1862,NA,NA
208,NA,88,100638,"88 100638","100638 88",0,"LINESTRING(1540821 979579,1538131 979607)",2690,NA,NA
209,NA,88,100666,"88 100666","100666 88",0,"LINESTRING(1540821 979579,1543432 979510)",2611,NA,NA
210,NA,89,100627,"89 100627","100627 89",0,"LINESTRING(1525265 969027,1525214 971057)",2030,NA,NA
211,NA,89,100630,"89 100630","100630 89",0,"LINESTRING(1525265 969027,1527286 968968)",2021,NA,NA
212,NA,90,100644,"90 100644","100644 90",0,"LINESTRING(1533338 972945,1532722.92 973002.313)",617,NA,NA
213,NA,91,100670,"91 100670","100670 91",0,"LINESTRING(1548642.553 971686.688,1549253 974597)",2973,NA,NA
214,NA,91,103983,"91 103983","103983 91",0,"LINESTRING(1548642.553 971686.688,1548604.491 969924.938)",1762,NA,NA
215,NA,92,100055,"92 100055","100055 92",0,"LINESTRING(1523285 1000764,1523318.069 1000995.071)",233,NA,NA
216,NA,92,100062,"92 100062","100062 92",0,"LINESTRING(1523285 1000764,1523604.01 1000761.589)",319,NA,NA
217,NA,92,100063,"92 100063","100063 92",0,"LINESTRING(1523285 1000764,1523106.381 1000783.384)",179,NA,NA
218,NA,93,100073,"93 100073","100073 93",0,"LINESTRING(1523306 999424,1523599.023 999417.688)",293,NA,NA
219,NA,93,100074,"93 100074","100074 93",0,"LINESTRING(1523306 999424,1523133.095 999440.563)",173,NA,NA
220,NA,94,100074,"94 100074","100074 94",0,"LINESTRING(1522083 999061,1523133.095 999440.563)",1116,NA,NA
221,NA,94,100075,"94 100075","100075 94",0,"LINESTRING(1522083 999061,1522821.795 999240.938)",760,NA,NA
222,NA,94,101839,"94 101839","101839 94",0,"LINESTRING(1522083 999061,1522077.381 998442.375)",618,NA,NA
223,NA,94,101840,"94 101840","101840 94",0,"LINESTRING(1522083 999061,1521245 999252)",859,NA,NA
224,NA,95,100570,"95 100570","100570 95",0,"LINESTRING(1520116 997501,1520115.865 997029.938)",471,NA,NA
225,NA,95,101836,"95 101836","101836 95",0,"LINESTRING(1520116 997501,1520505.494 998551.125)",1120,NA,NA
226,NA,96,100573,"96 100573","100573 96",0,"LINESTRING(1522097 997292,1522137.046 997021.125)",273,NA,NA
227,NA,96,101839,"96 101839","101839 96",0,"LINESTRING(1522097 997292,1522077.381 998442.375)",1150,NA,NA
228,NA,97,100078,"97 100078","100078 97",0,"LINESTRING(1523342 997697,1523290.754 998448.75)",753,NA,NA
229,NA,97,100574,"97 100574","100574 97",0,"LINESTRING(1523342 997697,1523087.002 997722.938)",256,NA,NA
230,NA,97,100575,"97 100575","100575 97",0,"LINESTRING(1523342 997697,1523557.312 997704.5)",215,NA,NA
231,NA,97,100578,"97 100578","100578 97",0,"LINESTRING(1523342 997697,1523316.885 997023.063)",674,NA,NA
232,NA,98,100586,"98 100586","100586 98",0,"LINESTRING(1522173 994087,1523479 994212)",1311,NA,NA
233,NA,98,100587,"98 100587","100587 98",0,"LINESTRING(1522173 994087,1521238.59 996178.5)",2290,NA,NA
234,NA,98,100590,"98 100590","100590 98",0,"LINESTRING(1522173 994087,1522139.969 993302.188)",785,NA,NA
