From,To,NumMidPoints,Shape_Points
101877,100168,8,"1518235 1003622,1518232 1003924,1518235 1004622,1518235 1004667,1518238 1004732,1518238 1004734,1518251 1005046,1518302 1005197,"
101886,100169,3,"1518523 1005900,1518667 1005977,1518749 1005977,"
101894,100169,1,"1520101 1005969,"
100169,100170,10,"1518627 1006008,1518594 1006027,1518570 1006049,1518547 1006082,1518506 1006154,1518450 1006228,1518377 1006322,1518304 1006402,1518223 1006480,1518142 1006550,"
100168,100170,14,"1518306 1005224,1518320 1005327,1518352 1005454,1518358 1005649,1518355 1005741,1518357 1005822,1518360 1005926,1518334 1006069,1518276 1006211,1518201 1006354,1518192 1006372,1518164 1006418,1518128 1006478,1518096 1006508,"
100171,100170,3,"1517591 1006803,1517788 1006724,1517984 1006615,"
100170,100171,3,"1517984 1006615,1517788 1006724,1517591 1006803,"
100173,100171,4,"1516986 1006972,1517271 1006909,1517318 1006899,1517364 1006889,"
101896,100171,2,"1517414 1007245,1517411 1007015,"
100171,100173,4,"1517364 1006889,1517318 1006899,1517271 1006909,1516986 1006972,"
101793,100173,9,"1514380 1008706,1515026 1008232,1515586 1007782,1515663 1007720,1515704 1007688,1516008 1007485,1516145 1007384,1516314 1007277,1516466 1007180,"
100741,100175,1,"1509023 1001193,"
100203,100177,19,"1514656 1013043,1514233 1013042,1514118 1013021,1514093 1013003,1514004 1012939,1513924 1012865,1513788 1012738,1513778 1012725,1513679 1012608,1513479 1012476,1513237 1012345,1513052 1012225,1512912 1012158,1512714 1012079,1512648 1012056,1512645 1012055,1512560 1012039,1512448 1012021,1512309 1012020,"
100120,100180,2,"1534622 1005489,1534647 1006633,"
102545,100181,2,"1536122 1009817,1537851 1011633,"
100140,100182,3,"1545405 1019390,1544212 1018163,1544199 1018150,"
100129,100183,3,"1533743 1014421,1534724 1014409,1536159 1014377,"
100137,100184,1,"1538808 1017621,"
101841,100192,4,"1521417 999791,1521563 999799,1521686 999839,1521888 999941,"
101903,100195,2,"1517472 1012824,1517470 1012612,"
101897,100195,3,"1517441 1009420,1517446 1010005,1517448 1010218,"
100145,100198,18,"1549506 1025959,1549499 1026156,1549499 1026210,1549499 1026259,1549498 1026305,1549497 1026347,1549496 1026385,1549494 1026420,1549493 1026451,1549491 1026478,1549488 1026501,1549486 1026520,1549483 1026536,1549412 1027025,1549402 1027319,1549401 1027531,1549433 1027692,1549471 1027834,"
100141,100198,4,"1549510 1029846,1549511 1029693,1549505 1029509,1549505 1029242,"
100177,100203,19,"1512309 1012020,1512448 1012021,1512560 1012039,1512645 1012055,1512648 1012056,1512714 1012079,1512912 1012158,1513052 1012225,1513237 1012345,1513479 1012476,1513679 1012608,1513778 1012725,1513788 1012738,1513924 1012865,1514004 1012939,1514093 1013003,1514118 1013021,1514233 1013042,1514656 1013043,"
101903,100203,14,"1516913 1012838,1516458 1012851,1516250 1012852,1516248 1012852,1516181 1012857,1516104 1012871,1516018 1012907,1515935 1012935,1515845 1012970,1515755 1013030,1515644 1013029,1515634 1013029,1515307 1013037,1514975 1013044,"
101962,100219,2,"1529710 1007122,1529909 1007158,"
101767,100225,1,"1500166 1017947,"
101765,100225,2,"1501855 1016859,1501682 1016971,"
100704,100226,2,"1496836 1024855,1496705 1024442,"
101774,100228,1,"1505055 1021769,"
100115,100240,5,"1537035 998428,1536785 998422,1536753 998421,1535662 998409,1535622 998408,"
100114,100240,3,"1534487 998411,1534521 998412,1534641 998414,"
100251,100250,2,"1522657 1000479,1522414 1000393,"
100250,100251,2,"1522414 1000393,1522657 1000479,"
101930,100268,4,"1522597 1012972,1522554 1012971,1522384 1012967,1522383 1012967,"
101901,100268,2,"1521368 1012945,1521370 1012945,"
101904,100269,2,"1517538 1016276,1517531 1015904,"
