From_Node,To_Node,LT_Node,Thru_Node,RT_Node,O1_Node,O2_Node,U_Turn
78,100205,0,100204,0,0,0,0
78,100259,0,100083,0,0,0,0
78,100571,0,100582,0,0,0,0
79,100202,0,100584,0,0,0,0
79,100597,100598,0,100596,0,0,0
80,100201,0,100584,0,0,0,0
80,100256,0,100595,0,0,0,0
80,100585,100586,0,100579,0,0,0
81,100257,0,100595,0,0,0,0
81,100604,100609,0,100592,0,0,0
81,100675,0,82,100609,0,0,0
82,100610,100612,0,100609,0,0,0
82,100613,100614,204,100612,0,82,1
82,100675,100609,81,0,0,0,0
83,100603,100596,0,100614,0,83,1
84,100615,100642,0,100614,0,84,1
85,100619,100617,0,100620,0,0,0
85,100621,100622,0,100611,0,0,0
86,100620,100625,0,100619,0,0,0
86,100673,100640,0,100634,0,0,0
87,100639,100643,0,100638,0,0,0
87,100672,0,100641,0,0,0,0
88,100638,100637,0,100639,0,0,0
88,100666,100665,0,100667,0,0,0
89,100627,100628,0,100626,0,0,0
89,100630,100626,0,100631,0,0,0
90,100644,100632,0,100634,0,90,1
91,100670,100669,0,103981,0,0,0
91,103983,104124,0,103982,0,0,0
92,100055,0,12,100056,0,0,0
92,100062,100056,74,100069,0,0,0
92,100063,0,0,100054,0,0,0
93,100073,100069,76,100079,0,93,1
93,100074,0,94,100067,0,0,0
94,100074,100067,93,0,0,0,0
94,100075,0,0,100076,0,0,0
94,101839,100076,96,101838,0,0,0
94,101840,101838,0,101841,0,0,0
95,100570,100572,0,100569,0,0,0
95,101836,101835,0,101838,0,0,0
96,100573,100577,0,100572,0,0,0
96,101839,101838,94,100076,0,0,0
97,100078,100077,0,100079,0,0,0
97,100574,100577,0,100077,0,0,0
97,100575,100079,77,100579,0,0,0
97,100578,100579,0,100577,0,0,0
98,100586,100585,0,100593,0,0,0
98,100587,100588,0,100572,0,0,0
98,100590,100591,0,100607,0,0,0
99,100562,102544,0,100589,0,0,0
99,100605,100591,0,100608,0,0,0
99,100607,100589,0,100590,0,0,0
100,100263,0,100588,0,0,0,0
100,100497,0,100561,0,0,0,0
101,100556,100555,0,100557,0,0,0
101,100558,100557,0,100559,0,0,0
102,100543,100544,0,100526,0,102,1
102,100545,100554,393,100544,0,0,0
103,100553,100551,393,100554,0,0,0
103,100560,100559,0,100606,0,103,1
104,100552,100551,0,100606,0,104,1
105,100526,100525,123,100543,0,0,0
105,100535,100536,0,100534,0,105,1
105,100541,100544,106,100536,0,0,0
106,100540,100547,0,100539,0,0,0
106,100541,100536,105,100544,0,0,0
106,100546,100544,393,100547,0,0,0
107,100550,100549,0,100622,0,0,0
107,100624,100623,0,100628,0,0,0
108,101854,0,175,101853,0,0,0
108,101858,101860,184,101857,0,0,0
109,100027,100026,135,100028,0,0,0
109,100038,0,0,100042,0,0,0
109,100039,100040,0,100026,0,0,0
109,100041,0,180,100040,0,0,0
110,100064,100052,0,100250,0,0,0
110,100192,100250,0,101841,0,0,0
110,100255,0,101844,0,0,0,0
110,101842,100178,0,101845,0,0,0
111,100178,101842,0,101841,0,0,0
111,100179,101841,0,101834,0,0,0
111,101843,101834,0,101847,0,0,0
111,101846,101847,175,101845,0,0,0
112,101813,101812,0,101814,0,0,0
112,101819,101814,188,101824,0,0,0
112,101820,101821,142,101811,0,0,0
112,101822,101823,0,101821,0,0,0
113,101816,101815,144,101863,0,0,0
113,101817,101818,0,101851,0,0,0
113,101827,101849,0,101826,0,0,0
114,100188,0,101849,0,0,0,0
114,100189,0,101848,0,0,0,0
114,100216,0,101828,0,0,0,0
115,100187,0,101824,0,0,0,0
115,100217,0,101828,0,0,0,0
115,101829,101830,118,101821,0,0,0
115,101832,101833,116,101831,0,115,1
116,101832,101831,115,101833,0,116,1
116,101837,100566,394,100567,193,0,0
117,100740,100739,0,100175,0,117,1
118,100741,100175,0,100742,0,0,0
118,101829,101821,115,101830,0,0,0
118,104446,104445,192,100739,0,0,0
119,100193,0,100566,0,0,0,0
119,100498,100561,0,100500,0,0,0
120,100563,100566,0,100500,0,0,0
120,100565,104445,394,100566,0,0,0
120,104447,0,104445,0,0,0,0
121,100499,0,100519,0,0,121,1
121,100671,100557,387,100519,0,0,0
122,100507,100508,0,100506,0,122,1
123,100308,100520,0,100247,0,0,0
123,100494,100525,388,100520,0,0,0
123,100526,100543,105,100525,0,0,0
124,100502,100501,0,100503,0,0,0
124,100510,100509,0,100516,0,0,0
124,100511,100513,209,100501,0,0,0
124,100514,100515,0,100513,0,0,0
125,100504,100503,0,100505,0,0,0
125,100508,100507,0,100518,0,0,0
125,100509,100510,0,100503,0,0,0
125,100517,100518,0,100516,0,0,0
126,100309,100520,0,100521,0,0,0
126,100495,100519,387,100520,0,0,0
126,100496,100518,0,100519,0,0,0
127,100515,100514,0,100516,0,127,1
128,100527,0,100532,0,0,0,0
128,100529,100530,0,100522,0,0,0
128,100531,100532,0,100530,0,0,0
129,100528,100533,0,100532,0,0,0
129,100534,100532,0,100535,0,0,0
130,101889,101881,133,101888,0,0,0
130,101891,101893,131,101890,0,0,0
130,101894,100169,138,101893,0,0,0
131,101891,101890,130,101893,0,0,0
131,101892,101893,23,101973,0,0,0
131,101985,101973,0,102012,0,0,0
131,102015,0,102014,0,0,0,0
132,100254,100253,0,100282,0,132,1
132,101960,101986,182,101999,0,0,0
133,101882,101878,183,101888,0,0,0
133,101889,101888,130,101881,0,0,0
134,100288,0,184,0,0,0,0
134,101869,0,101868,0,0,134,1
134,101911,101860,177,101861,0,0,0
134,102000,100287,0,184,0,0,0
135,100011,0,187,100012,0,0,0
135,100024,0,0,100028,0,0,0
135,100025,100026,0,100010,0,0,0
135,100027,100028,109,100026,0,0,0
136,101746,101795,0,101794,0,136,1
137,101896,100171,0,101897,0,137,1
138,100264,0,101895,0,0,0,0
138,101894,101893,130,100169,0,0,0
138,101898,101897,385,101899,164,0,0
139,100236,0,101883,0,0,0,0
139,101766,0,101804,0,0,0,0
139,101799,101798,0,101884,0,0,0
140,100210,0,101801,0,0,140,1
140,101798,104441,383,101799,0,140,1
141,100748,101800,0,100749,0,141,1
141,101797,101796,194,101800,0,141,1
142,100742,101821,0,100741,0,0,0
142,100743,100744,0,101811,0,0,0
142,101820,101811,112,101821,0,0,0
143,100209,0,101801,0,0,0,0
143,100244,0,101809,0,0,0,0
143,101808,101803,191,101814,0,0,0
143,101812,101813,0,101811,0,0,0
144,101806,101805,0,101875,0,0,0
144,101807,101815,191,101804,0,0,0
144,101816,101863,113,101815,0,0,0
144,101874,101875,190,101866,0,0,0
145,100231,0,101757,0,0,0,0
145,101748,0,101760,0,0,0,0
146,100203,101903,198,389,100177,146,1
146,100269,101904,165,101903,0,0,0
146,101787,101786,0,101904,0,146,1
147,101789,101790,0,100177,0,0,0
147,101791,101792,0,101790,0,0,0
148,100246,0,101795,0,0,148,1
149,101751,100750,0,101752,0,0,0
149,101754,101753,0,101755,0,0,0
149,101756,101758,199,100750,201,149,1
150,100744,100743,41,100745,0,150,1
150,100747,100746,203,100750,0,150,1
150,100749,100750,207,100748,0,150,1
151,100737,100738,395,100729,0,151,1
151,101752,101753,0,101751,0,151,1
152,100313,100503,0,100733,0,0,0
152,100730,100732,0,100729,0,0,0
153,100701,103920,294,100702,0,0,0
153,100704,100703,0,100226,0,0,0
153,100707,100708,0,100706,0,0,0
154,100226,100711,0,100704,0,0,0
154,100228,101775,0,101774,0,0,0
154,100229,0,101772,0,0,0,0
155,101762,101785,0,101763,0,0,0
155,101784,101783,0,101785,0,0,0
155,102555,101763,0,101773,0,0,0
156,100227,101772,0,100225,0,0,0
156,101768,101767,101770,0,0,0,0
156,101771,101770,0,101772,0,0,0
157,100709,100710,0,100708,0,0,0
157,100711,100226,0,100712,0,0,0
158,100710,100709,0,100712,0,0,0
158,100713,100712,0,100714,0,0,0
158,100715,100714,0,100708,0,0,0
159,100727,100712,0,101770,0,0,0
159,101769,101767,0,100714,0,0,0
160,100724,100725,0,100723,0,0,0
160,100776,100773,379,100775,0,0,0
160,101755,100775,0,101754,0,0,0
160,102556,100726,0,100725,0,0,0
161,100167,100716,0,100708,0,0,0
161,100723,100773,0,100724,0,0,0
161,100752,0,100772,100718,0,0,0
162,100731,100722,0,100732,0,0,0
162,100734,100735,0,100720,0,0,0
163,100268,101901,29,101930,0,0,0
163,101936,101931,17,101937,0,0,0
164,100195,101897,0,101903,0,164,1
164,101898,0,101899,101897,385,0,0
165,100269,101903,146,101904,0,0,0
165,101902,101901,0,101903,0,0,0
166,101935,101950,36,101933,0,166,1
167,101962,100219,40,101963,0,167,1
168,100270,100129,0,100121,0,168,1
169,100106,59,100107,57,0,0,0
169,100223,0,100222,59,0,0,0
170,100085,100109,60,100084,0,170,1
170,100224,0,100222,0,0,0,0
171,100221,0,100108,0,0,171,1
172,100105,100120,391,100128,0,172,1
172,100142,0,100115,0,0,172,1
173,100104,58,100103,390,100120,173,1
174,100135,0,100115,0,0,0,0
174,100241,100651,0,100240,0,0,0
175,101846,101845,111,101847,0,0,0
175,101854,101853,108,0,0,0,0
176,100271,101852,177,0,0,0,0
176,100272,101847,0,101848,0,176,1
177,100271,0,176,101852,0,0,0
177,101778,101862,0,101861,0,0,0
177,101911,101861,134,101860,0,0,0
178,100273,0,179,101855,0,0,0
178,100275,101857,185,100249,0,0,0
178,100277,100249,0,100248,0,0,0
178,101856,101855,0,101857,0,0,0
179,100273,101855,178,0,0,0,0
179,100274,101844,0,101845,0,0,0
179,100278,101845,0,101855,0,0,0
179,100279,100248,0,101844,0,0,0
180,100041,100040,109,0,0,0,0
180,100276,100053,0,0,0,0,0
180,100280,100052,0,100040,0,0,0
180,100281,0,0,100053,0,0,0
181,100163,0,101881,0,0,0,0
181,102006,0,101986,0,0,0,0
181,102013,102014,0,100282,0,0,0
182,100283,100000,187,101999,0,0,0
182,100284,0,0,100000,0,0,0
182,101960,101999,132,101986,0,0,0
183,100237,0,100168,0,0,0,0
183,100286,101887,0,101888,0,0,0
183,101882,101888,133,101878,0,0,0
183,102001,0,100285,0,0,0,0
184,100165,0,101870,0,0,0,0
184,100288,0,134,0,0,0,0
184,101858,101857,108,101860,0,0,0
184,102000,134,100287,0,0,0,0
185,100275,100249,178,101857,0,0,0
185,100291,100252,0,100249,0,0,0
185,100292,101857,0,101870,0,0,0
185,100295,0,186,100252,0,0,0
186,100293,100253,0,100252,0,0,0
186,100294,101870,0,101871,0,0,0
186,100295,100252,185,0,0,0,0
186,100296,101871,0,100253,0,0,0
187,100011,100012,135,0,0,0,0
187,100283,101999,182,100000,0,0,0
187,100289,0,0,100012,0,0,0
187,100290,100010,0,101999,0,0,0
188,100261,0,100260,0,0,0,0
188,100300,101826,0,101824,0,0,0
188,101819,101824,112,101814,0,0,0
188,101943,0,101818,0,0,0,0
189,100297,101851,0,101852,0,0,0
189,100298,101848,0,101849,0,0,0
189,100299,101863,190,101862,0,0,0
190,100299,101862,189,101863,0,0,0
190,100301,101867,0,101866,0,0,0
190,101874,101866,144,101875,0,0,0
191,100262,0,100260,0,0,0,0
191,100302,101803,0,101804,0,0,0
191,101807,101804,144,101815,0,0,0
191,101808,101814,143,101803,0,0,0
192,100736,100564,0,100738,0,0,0
192,104446,100739,118,104445,0,0,0
193,101837,0,116,394,100567,0,0
193,102010,0,101830,0,0,193,1
194,101797,101800,141,101796,0,194,1
195,100245,0,101809,0,0,195,1
196,101747,0,101760,0,0,196,1
196,101750,101759,381,101765,0,196,1
197,101749,101760,0,101763,0,197,1
198,100203,389,146,101903,100177,198,1
198,101792,101793,382,101791,0,198,1
199,100233,0,100176,200,0,0,0
199,100303,0,101794,0,0,199,1
199,101756,100750,149,101758,201,199,1
200,100233,199,0,100176,0,0,0
200,100234,100176,100235,101790,0,0,0
201,101756,199,149,0,101758,100750,1
202,100230,0,101757,0,0,202,1
203,100747,100750,150,100746,0,203,1
204,100613,100612,82,100614,0,204,1
205,100306,100130,0,100137,0,205,1
206,100310,0,101796,0,0,0,0
206,100312,0,100311,0,0,0,0
207,100749,100748,150,100750,0,207,1
208,104441,101798,0,101796,0,0,0
208,104442,0,100311,0,0,0,0
209,100511,100501,124,100513,0,0,0
209,103861,100513,0,103863,0,0,0
209,103862,103864,211,100501,0,0,0
210,103605,103669,0,103629,0,0,0
210,103606,103864,0,103863,0,0,0
210,103635,103629,212,103860,0,0,0
210,103858,103866,0,100759,0,0,0
211,103814,100735,0,100501,0,0,0
211,103862,100501,209,103864,0,0,0
212,103626,103625,213,103872,0,0,0
212,103635,103860,210,103629,0,0,0
212,103718,103629,0,103625,0,0,0
213,103604,0,103603,0,0,0,0
213,103626,103872,212,103625,0,0,0
213,103634,103633,0,103873,0,0,0
214,103656,103705,0,103657,0,0,0
214,103669,103605,0,103639,0,0,0
215,103706,103713,0,103707,0,0,0
215,103712,103657,0,103711,0,0,0
215,103717,103708,0,103657,0,0,0
216,103597,103708,0,103709,0,0,0
216,103710,103614,231,103603,0,0,0
216,103720,103625,0,103708,0,0,0
216,103721,103603,0,103625,0,0,0
217,103714,103711,0,103668,0,217,1
218,103650,103661,0,103704,0,0,0
218,103660,103655,0,103661,0,0,0
218,103662,103672,0,103663,0,0,0
219,103667,103699,0,103668,0,219,1
219,103695,103701,225,103696,222,0,0
220,103691,103698,0,103664,0,220,1
221,103698,103697,223,103691,0,0,0
221,103699,103667,0,103697,0,221,1
222,103649,103690,223,103697,0,0,0
222,103654,103663,0,103652,0,222,1
222,103695,0,219,225,103696,0,0
223,103649,103697,222,103690,0,0,0
223,103698,103691,221,103697,0,0,0
224,103652,103572,225,103654,0,224,1
225,103652,103654,224,103572,0,225,1
225,103688,103577,0,103683,0,0,0
225,103695,103696,219,103701,222,0,0
226,103684,103690,0,103683,0,226,1
227,103601,100720,0,103871,0,227,1
227,103602,103917,229,100718,0,227,1
228,103600,103609,230,103620,0,0,0
228,103619,103620,0,103871,0,0,0
228,103873,103871,0,103634,0,0,0
229,103602,100718,227,103917,0,229,1
229,103916,103918,235,100716,0,0,0
230,103600,103620,228,103609,0,0,0
230,103899,103903,0,103917,0,0,0
230,103902,103617,239,103903,0,0,0
231,103598,103764,233,103777,0,0,0
231,103618,103608,0,103633,0,0,0
231,103710,103603,216,103614,0,0,0
232,103599,103615,0,103614,0,232,1
233,103598,103777,231,103764,0,0,0
233,103767,103615,234,103761,0,0,0
233,103779,103762,0,103616,0,0,0
233,103780,103616,0,103781,0,0,0
234,103760,103774,0,103775,0,0,0
234,103767,103761,233,103615,0,0,0
235,103651,100706,0,100716,0,0,0
235,103916,100716,229,103918,0,0,0
236,100717,0,100706,0,0,0,0
236,103896,103904,0,103886,0,0,0
236,103921,103886,0,103920,0,0,0
237,103653,103900,239,103912,0,0,0
237,103658,103905,0,103908,0,237,1
238,103596,103897,0,103595,0,0,0
238,103913,103622,0,103905,0,0,0
239,103653,103912,237,103900,0,0,0
239,103902,103903,230,103617,0,0,0
240,103763,103787,0,103768,0,0,0
240,103765,103768,0,103772,0,0,0
240,103771,103731,0,103733,0,0,0
241,103659,0,103591,0,0,0,0
241,103670,103632,0,103631,0,0,0
241,103674,103666,242,103647,0,0,0
242,103671,0,244,103612,0,0,0
242,103674,103647,241,103666,0,0,0
242,103682,103666,0,103681,0,0,0
243,103678,0,103592,0,0,243,1
243,103729,103754,245,103730,0,0,0
244,103613,103754,0,103612,0,0,0
244,103671,103612,242,0,0,0,0
244,103748,0,103751,0,0,0,0
245,103574,103754,0,103750,0,0,0
245,103727,103750,247,103728,0,245,1
245,103729,103730,243,103754,0,0,0
245,103773,103728,0,103772,0,0,0
246,103758,103753,248,103749,0,246,1
247,103727,103728,245,103750,0,247,1
247,103759,103747,249,103725,250,0,0
248,103758,103749,246,103753,0,248,1
249,103759,103725,247,103747,250,0,0
249,104426,0,103648,0,0,0,0
250,100685,103820,0,281,0,250,1
250,103759,103725,103747,0,249,0,0
250,104426,0,0,103648,0,0,0
251,100687,0,103821,0,0,251,1
251,103679,103648,255,100678,0,251,1
252,103680,103643,253,103703,0,0,0
252,103694,103569,254,103643,0,0,0
253,103680,103703,252,103643,0,0,0
253,103687,103643,254,103640,0,0,0
253,103689,103648,0,103703,0,0,0
254,103687,103640,253,103643,0,0,0
254,103693,100705,256,103640,0,0,0
254,103694,103643,252,103569,0,0,0
254,103700,103569,0,100705,0,0,0
255,103679,100678,251,103648,0,255,1
255,103692,103640,256,103580,0,0,0
256,100700,0,100694,0,0,0,0
256,103692,103580,255,103640,0,0,0
256,103693,103640,254,100705,0,0,0
256,103743,100705,0,100696,0,0,0
257,103867,100678,258,100681,0,257,1
258,103778,100678,0,103580,0,0,0
258,103851,103580,259,100680,0,0,0
258,103867,100681,257,100678,0,258,1
258,103898,100680,0,100681,0,0,0
259,103745,103580,0,100677,0,0,0
259,103826,100677,260,100691,0,0,0
259,103851,100680,258,103580,0,0,0
259,103869,100691,0,100680,0,0,0
260,103744,100694,0,100696,0,0,0
260,103822,100696,0,100679,0,0,0
260,103826,100691,259,100677,0,0,0
260,103868,100679,0,100691,0,0,0
261,103909,103569,0,103638,0,261,1
261,103910,103630,262,103569,0,0,0
262,100695,0,100679,0,0,0,0
262,100697,0,100696,0,0,0,0
262,100719,0,100705,0,0,0,0
262,103910,103569,261,103630,0,0,0
262,103911,103813,265,103811,0,0,0
263,103813,103911,0,103830,0,263,1
264,103829,103803,265,103796,0,264,1
265,100767,0,100692,0,0,0,0
265,100768,0,100693,0,0,0,0
265,103829,103796,264,103803,0,265,1
265,103911,103811,262,103813,0,0,0
266,103919,100690,0,103811,0,266,1
267,103963,100688,0,100692,0,0,0
267,103967,100693,0,100682,0,0,0
268,103945,103810,0,100690,0,268,1
269,103965,103815,0,100688,0,0,0
269,103968,100682,0,103816,0,0,0
270,103946,103825,0,103810,0,270,1
271,103966,103817,0,103815,0,0,0
271,103969,103816,0,103812,0,0,0
272,103823,0,103821,103825,0,272,1
273,100683,103812,0,279,0,0,0
273,103974,0,103825,103817,0,273,1
274,100769,0,103803,0,0,0,0
274,103807,103808,0,103816,0,0,0
274,103977,0,100682,0,0,0,0
275,103832,103804,0,103791,0,0,0
275,103999,104003,0,103804,0,0,0
276,103808,103809,277,103807,0,276,1
276,104003,103999,0,103809,0,276,1
277,103808,103807,276,103809,0,277,1
278,100689,0,103812,0,0,278,1
279,100683,273,103812,0,0,0,0
279,100686,0,103821,0,0,0,0
279,104074,103819,0,103820,0,0,0
280,100684,0,103819,0,0,0,0
280,103805,103806,0,103818,0,0,0
281,100685,250,103820,0,0,281,1
281,103827,103818,282,103741,0,281,1
282,103827,103741,281,103818,0,282,1
283,103732,103793,284,103731,0,0,0
283,103740,103776,0,103741,0,283,1
284,103732,103731,283,103793,0,0,0
284,103783,103621,0,103785,0,0,0
284,103784,0,103738,0,0,0,0
285,103724,103738,0,103849,0,0,0
285,103838,103849,0,103737,0,0,0
286,103791,103832,287,103792,0,286,1
286,103792,103791,0,103848,0,0,0
286,103795,103849,103734,103794,0,0,0
287,103791,103792,286,103832,0,287,1
288,103837,103836,0,103847,0,288,1
289,103723,103735,0,103736,0,289,1
290,103788,103593,0,103594,0,0,0
290,103789,103646,0,103874,0,0,0
290,103790,103874,0,103593,0,0,0
291,103834,103623,0,103855,0,0,0
291,103923,103929,0,103624,0,0,0
292,103928,103937,0,103927,0,292,1
293,103607,103875,0,103883,0,293,1
294,100701,100702,153,103920,0,0,0
294,103879,103922,0,103880,0,0,0
295,103964,103958,0,103949,0,295,1
296,103973,103581,0,103960,0,296,1
297,103578,101779,0,103882,0,297,1
298,103579,103586,0,104050,0,0,0
298,103582,104056,0,103581,0,0,0
299,104050,104054,0,103579,0,299,1
299,104055,305,104058,104054,0,0,0
300,103833,104046,0,101914,0,300,1
301,104058,104060,0,104055,0,0,0
301,104059,104010,0,104030,0,0,0
302,103850,104020,0,104021,0,302,1
303,101915,100134,33,101914,0,0,0
303,104012,0,0,0,0,0,0
304,104010,104059,0,104025,0,0,0
304,104021,104013,0,103850,0,0,0
304,104075,104080,310,104023,0,0,0
304,104082,104025,0,104080,0,0,0
305,104015,104084,0,104083,0,0,0
305,104024,0,104025,0,0,0,0
305,104055,104058,104054,299,0,0,0
306,104077,103557,0,104081,0,0,0
306,104083,104017,0,104015,0,0,0
307,103550,0,103549,0,0,0,0
307,103558,103557,104379,104380,0,0,0
308,103979,104078,0,104076,0,0,0
308,103980,103559,309,104284,0,0,0
308,104081,104079,0,104077,0,0,0
309,103551,103559,0,103545,0,0,0
309,103924,0,322,0,0,0,0
309,103980,104284,308,103559,0,0,0
309,104285,0,104280,103997,0,0,0
310,103975,103996,0,103994,0,0,0
310,103976,103997,312,103995,0,0,0
310,104075,104023,304,104080,0,0,0
311,103546,104023,0,103994,0,0,0
311,104073,104008,0,103413,0,0,0
312,103976,103995,310,103997,0,0,0
312,104279,104280,0,104178,0,0,0
