name,node_id,zone_id,node_type,control_type,x_coord,y_coord,geometry
,103595,239,,,-84.28034774,40.80008644,
,103596,239,,,-84.27170878,40.79803749,
,103597,216,,,-84.3099829,40.73247728,
,103598,231,,,-84.30254981,40.76497249,
,103599,232,,,-84.32131867,40.75162401,
,103600,228,,,-84.25707102,40.76556367,
,103601,213,,,-84.23294907,40.75115877,
,103602,229,,,-84.23319498,40.76693871,
,103603,231,,,-84.28077895,40.74360466,
,103604,213,,,-84.27572314,40.74364012,
,103605,210,,,-84.28025773,40.70030976,
,103606,209,,,-84.24208163,40.70066012,
,103607,293,,,-84.24918455,40.82848384,
,103608,231,,,-84.28110591,40.76520958,
,103609,228,,,-84.26668797,40.76542264,
,103612,242,,,-84.35882356,40.7575273,
,103613,244,,,-84.35890052,40.77192925,
,103614,231,,,-84.31783476,40.74264752,
,103615,232,,,-84.31911873,40.76496243,
,103616,233,,,-84.2811318,40.78693849,
,103617,230,,,-84.26691786,40.78707555,
,103618,231,,,-84.28103694,40.75795061,
,103619,227,,,-84.24256806,40.75844274,
,103620,227,,,-84.24272602,40.76578671,
,103621,240,,,-84.28222065,40.81634537,
,103622,237,,,-84.27204569,40.81632641,
,103623,291,,,-84.28184952,40.84337227,
,103624,292,,,-84.26264056,40.84464733,
,103625,212,,,-84.28058588,40.7291197,
,103626,212,,,-84.26141797,40.72921075,
,103627,289,,,-84.28184361,40.82366234,
,103628,290,,,-84.27478164,40.82358237,
,103629,212,,,-84.28028877,40.70754972,
,103630,261,,,-84.3501243,40.852396,
,103631,232,,,-84.33400065,40.73609348,
,103632,232,,,-84.33396066,40.76401937,
,103633,231,,,-84.28096798,40.75073364,
,103634,213,,,-84.26164608,40.75087371,
,103635,212,,,-84.26128287,40.71035379,
,103636,289,,,-84.28185162,40.82203335,
,103637,284,,,-84.27256768,40.8177124,
,103638,0,,,-84.35332031,40.84708401,
,103639,214,,,-84.28018166,40.6858008,
,103640,254,,,-84.34631034,40.84372104,
,103641,215,,,-84.28575675,40.70755176,
,103642,231,,,-84.28096098,40.75044864,
,103643,252,,,-84.34935333,40.84371103,
,103644,291,,,-84.28176054,40.83777829,
,103645,293,,,-84.2627396,40.83781336,
,103646,293,,,-84.2627386,40.83759836,
,103647,242,,,-84.35886458,40.75037032,
,103648,253,,,-84.34631934,40.84264505,
,103649,223,,,-84.35555068,40.70946644,
