name,link_id,from_node_id,to_node_id,facility_type,dir_flag,length,lanes,capacity,free_speed,link_type,cost,VDF_cap1,VDF_alpha1,VDF_beta1,VDF_PHF1,VDF_gamma1,VDF_mu1
RESERVOIR RD,5118,103984,103986,arterial,1,0.499242424,1,1800,46,1,,1800,0.25,3,1,1,100
Ada,5119,103985,100153,arterial,1,0.478409091,1,1560,48,1,,1560,0.25,3,1,1,100
SR-81,5120,103985,104231,arterial,1,0.327462121,1,1800,48,1,,1800,0.25,3,1,1,100
0,5121,103986,355,hot,1,0.713257576,1,1800,25,99,,1800,0.15,4,1,1,100
0,5122,103986,356,hot,1,0.648295455,1,1800,25,99,,1800,0.15,4,1,1,100
RESERVOIR RD,5123,103986,103984,arterial,1,0.499242424,1,1618,46,1,,1618,0.25,3,1,1,100
RESERVOIR RD,5124,103986,104098,arterial,1,0.75094697,1,1560,44,1,,1560,0.25,3,1,1,100
SR-81,5125,103987,104197,arterial,1,0.664772727,1,1734,48,1,,1734,0.25,3,1,1,100
SR-81,5126,103987,104231,arterial,1,0.17405303,1,1800,48,1,,1800,0.25,3,1,1,100
0,5127,103988,354,hot,1,0.63655303,1,1800,25,99,,1800,0.15,4,1,1,100
RUMBAUGH RD,5128,103988,103989,arterial,1,0.743939394,1,1560,37,1,,1560,0.25,3,1,1,100
RUMBAUGH RD,5129,103988,104098,arterial,1,0.490340909,1,1618,37,1,,1618,0.25,3,1,1,100
RUMBAUGH RD,5130,103989,103988,arterial,1,0.743939394,1,1800,37,1,,1800,0.25,3,1,1,100
NAPOLEON RD,5131,103989,103998,arterial,1,0.516666667,1,1618,46,1,,1618,0.25,3,1,1,100
NAPOLEON RD,5132,103989,104262,arterial,1,0.082765152,1,1618,46,1,,1618,0.25,3,1,1,100
LAFAYETTE RD,5133,103990,104161,arterial,1,0.253977273,1,1560,39,1,,1560,0.25,3,1,1,100
LAFAYETTE RD,5134,103990,104169,arterial,1,0.253787879,1,1560,39,1,,1560,0.25,3,1,1,100
SR-81,5135,103991,103993,arterial,1,1.002840909,1,1800,47,1,,1800,0.25,3,1,1,100
SR-81,5136,103991,104328,arterial,1,0.109848485,1,1800,47,1,,1800,0.25,3,1,1,100
